Very/Fairly well,Not too/Not at all well,DK,Total,46,52,2=100
18-29,53,46,2=100,53,46,2=100
30-49,47,51,2=100,47,51,2=100
50-64,43,56,1=100,43,56,1=100
65+,40,58,2=100,40,58,2=100
Postgrad,58,40,2=100,58,40,2=100
College degree,48,51,1=100,48,51,1=100
Some college,44,54,2=100,44,54,2=100
HS or less,43,55,2=100,43,55,2=100
Republican,27,72,1=100,27,72,1=100
Conservative,18,81,*,18,81,*
Mod/Liberal,46,54,0=100,46,54,0=100
Independent,44,55,1=100,44,55,1=100
Democrat,64,34,2=100,64,34,2=100
Conserv/Mod,54,45,2=100,54,45,2=100
Liberal,76,23,1=100,76,23,1=100
