```csv
Item,"At the time of invitation to apply for the visa ...",Number of points
"7A91","the applicant, or a main business of the applicant, had either or both of the following:",15
"a","one or more patents that:",15
"","(i) were registered not less than 1 year before that time; and",15
"","(ii) were used in the day to day activities of the main business;",15
"b","one or more registered designs that:",10
"","(i) were registered not less than 1 year before that time; and",10
"","(ii) were used in the day to day activities of the main business",10
"7A92","the applicant, or a main business of the applicant, had one or more registered trade marks",10
"","that:",10
"a","were registered not less than 1 year before that time; and",10
"","were used in the day to day activities of the main business",10
"7A93","each of the following applied:",5
"a","at least one main business in which the applicant held an ownership interest operated in accordance with a formal joint venture agreement entered into with another business or businesses;",5
"b","the joint venture agreement had been entered into not less than 1 year before the time of invitation to apply for the visa;",5
"c","the applicant utilised his or her skills in actively participating at a senior level in the day to day management of the business",5
"7A94","at least one main business held by the applicant derived not less than 50% of its annual turnover from export trade in at least 2 of the 4 fiscal years immediately before that time",15
"7A95","the applicant had an ownership interest in at least one main business that:",10
"a","was established not more than 5 years before that time;",10
"b","had an average annualised growth in turnover that was greater than 20% per annum over 3 continuous fiscal years;",10
"c","in at least one of the 3 fiscal years mentioned in paragraph (b) employed 10 or more employees for a total number of hours that was at least the total number of hours that would have been worked by 10 full-time employees",10
```
