Perf.,IOU F1,Token F1
Evidence Inference,,
Evidence Inference,Lei et al. (2016),"0.461,0.000,0.000"
Evidence Inference,Lei et al. (2016) (u),"0.461,0.000,0.000"
Evidence Inference,Lehman et al. (2019),"0.471,0.119,0.123"
Evidence Inference,Bert-To-Bert,"0.708,0.455,0.468"
BoolQ,,
BoolQ,Lei et al. (2016),"0.381,0.000,0.000"
BoolQ,Lei et al. (2016) (u),"0.380,0.000,0.000"
BoolQ,Lehman et al. (2019),"0.411,0.050,0.127"
BoolQ,Bert-To-Bert,"0.544,0.052,0.134"
Movie Reviews,,
Movie Reviews,Lei et al. (2016),"0.914,0.124,0.285"
Movie Reviews,Lei et al. (2016) (u),"0.920,0.012,0.322"
Movie Reviews,Lehman et al. (2019),"0.750,0.063,0.139"
Movie Reviews,Bert-To-Bert,"0.860,0.075,0.145"
FEVER,,
FEVER,Lei et al. (2016),"0.719,0.218,0.234"
FEVER,Lei et al. (2016) (u),"0.718,0.000,0.000"
FEVER,Lehman et al. (2019),"0.691,0.540,0.523"
FEVER,Bert-To-Bert,"0.877,0.835,0.812"
MultiRC,,
MultiRC,Lei et al. (2016),"0.655,0.271,0.456"
MultiRC,Lei et al. (2016) (u),"0.648,0.000†,0.000†"
MultiRC,Lehman et al. (2019),"0.614,0.136,0.140"
MultiRC,Bert-To-Bert,"0.633,0.416,0.412"
CoS-E,,
CoS-E,Lei et al. (2016),"0.477,0.255,0.331"
CoS-E,Lei et al. (2016) (u),"0.476,0.000†,0.000†"
CoS-E,Bert-To-Bert,"0.344,0.389,0.519"
e-SNLI,,
e-SNLI,Lei et al. (2016),"0.917,0.693,0.692"
e-SNLI,Lei et al. (2016) (u),"0.903,0.261,0.379"
e-SNLI,Bert-To-Bert,"0.733,0.704,0.701"
