Country,Majority ofVotes Cast,Majority of All Members,Supermajority Requirements,Citation
Mexico,Yes,No,Two-thirds majority of memberspresent required to override a presidential veto and to passconstitutional amendments.,"Political Constitution of theUnited Mexican States arts. 72(C-F),135,https:/ / perma.cc/6KX5-H4AL."
Mongolia,Yes,No,Two-thirds majority required to override a presidential veto.,"Constitution of Mongolia arts.27, 33, 61, https:/ / perma.cc/KCG9-AAPX."
Namibia,Yes,No,"Two-thirds majority of NationalAssembly (NA) required for bills related to the national coat of arms,national anthem, and national seal;presidential veto override; andreaffirming certain bills againstwhich objections are raised by two-thirds majority of National Council(NC). Two-thirds majority of allmembers of NA and NC requiredfor constitutional amendments.","Constitution of Namibia SS 2,56, 67, 75,77,https:/ / perma.cc/B6WP-MT8P."
Netherlands,Yes,No,"Two-thirds majority of the votes cast required for constitutional amendments, provisions of treaties that conflict with the Constitution, bills to appoint a successor to the Dutch throne, bills concerning payments and tax exemption for members of the royal house, bills on remuneration to members of parliament.","Constitution of the Kingdomof the Netherlands art. 30, para. 2; art. 40, para. 3; art. 63; art. 67, para. 2; art. 91, para. 3; art. 137, paras. 4, 5; art. 138, para. 2, https:/ /perma.cc/X3PC- NFK5 (original), https://perma.cc/8D3F- MV3T (English translation)."
Norway,Yes,No,"Two-thirds majority required for constitutional amendments,","Constitution of the Kingdomof Norway SS 49, 57, 73,121,"
,,,following a national election to Parliament.,"https://perma.cc/ A3UX-YS33; Rules of Procedure ofthe Storting SS 43, 61,https:/ /perma.cc/2U2N-UM3P."
Panama,Yes,"Yes, for several specific laws, including issuing or amending national codes, approving or disapproving treaties negotiated by the executive branch, approving the government budget, and establishingtaxes.",Two-thirds majority of all members required to override a presidentialveto.,"Political Constitution of theRepublic of Panama arts. 159,164, 165, 166, 170, 171, 313, https:/ / perma.cc/S333-36CQ."
Papua NewGuinea,Yes,Yes to amend certain sections of the Constitution and certain Organic Laws.,Two-thirds majority of all membersrequired to amend certain sections of the Constitution and certainOrganic Laws. Three-quarters majority of all members required to amend certain sections of theConstitution.,"Constitution of Papua NewGuinea ss 14, 17,114,https:/ /perma.cc/AC8U-4VC4."
Paraguay,Yes,"Yes, to reject objectionsfrom the other house ofCongress, override a presidential veto, declare a state of emergency, and approve constitutional amendments.",None,"Constitution of the Republic of Paraguay arts. 185, 206,207.2, 208,209,288, 290,https:/ / perma.cc/WC8Q-GLLM."
Peru,Yes,"Yes, for laws onconstitutional reform subject to referendum, organic laws, and","Two-thirds majority of members required for laws on constitutional reform not subject to referendum, special tax treatment for certain","Regulations of Congress art. 52, https:/ / perma.cc/WE6H-T79U; Political Constitution of Peru arts. 57, 79,80, 106,"
