Country,Country,Majority ofVotes Cast,Majority of All Members,Majority of All Members,Majority of All Members,Majority of All Members,Supermajority Requirements,Citation,,,,
Cyprus,Cyprus,"Yes, for all","Yes, for decision to dissolve","Yes, for decision to dissolve","Yes, for decision to dissolve","Yes, for decision to dissolve","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
(Republic,(Republic,ordinary,"House of Representatives.(Technically,absolute","House of Representatives.(Technically,absolute","House of Representatives.(Technically,absolute","House of Representatives.(Technically,absolute","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
of),of),legislation.,"House of Representatives.(Technically,absolute","House of Representatives.(Technically,absolute","House of Representatives.(Technically,absolute","House of Representatives.(Technically,absolute","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,"(Technically,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,laws,"majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",least one-third of members,least one-third of members,nembe,nembe
,,amending,"majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",elected by Turkish,,,
,,"electoral laws,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","majority needs to include atleast one-third of memberselected by Turkishcommunity,however,","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,laws concerning,"Turkish deputies are not elected since 1963 events, sothis requirement is not","Turkish deputies are not elected since 1963 events, sothis requirement is not","Turkish deputies are not elected since 1963 events, sothis requirement is not","Turkish deputies are not elected since 1963 events, sothis requirement is not","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,"town halls,","Turkish deputies are not elected since 1963 events, sothis requirement is not","Turkish deputies are not elected since 1963 events, sothis requirement is not","Turkish deputies are not elected since 1963 events, sothis requirement is not","Turkish deputies are not elected since 1963 events, sothis requirement is not","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,and laws,observed.),observed.),observed.),observed.),"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
