Organization,Final document related to AI? (Yes/No),Proposed document related to AI? (Yes/No),Citation,Description
Council of Europe,No,Yes,"Consolidated Text of the Convention for the Protection of Individuals with Regard to Automatic Processing of Personal Data, ETS No. 108, art. 9, para. 1(a), https://perma.cc/B828-4W7B.","Convention No. 108, which entered into force in 1985, was the first international treaty on personal data protection. A 2018 amendment, which has not yet entered into force, modernized the convention and established, among other things, the right of an individual not to be subject to a decision significantly affecting him or her based solely on an automated processing of data without having his or her views taken into consideration."
Council of Europe,,Yes,"Committee on Artificial Intelligence [CAI], Revised Zero Draft [Framework] Convention on Artificial Intelligence, Human Rights, Democracy, and the Rule of Law (Jan. 6, 2023), https://perma.cc/PS8F-9M5L.","The proposed framework convention would provide a common framework for the design, development, and application of AI systems throughout their life cycle, regardless of whether these activities are undertaken by public or private actors, with the exclusion of national defense. It would be based on the Council of Europe's standards on human rights, democracy, and the rule of law. Similar to the EU's proposed AI Act, it would adopt a risk-based approach to AI systems, but would not establish redlines for certain AI uses. It would be open for accession by nonmembers of the Council of Europe after entry into force."
NATO,Yes,No,"NATO, Summary of the Artificial Intelligence Strategy (Oct. 22, 2021), https://perma.cc/3GRM-7P6X.","Promulgated in October 2021, the strategy adopts six principles of responsible use: lawfulness, responsibility and accountability, explainability and traceability, reliability, governability, and bias mitigation."
,,,"NATO's Data and Artificial Intelligence Review Board, NATO (Oct. 17, 2022), https://perma.cc/Y3H5-3QFJ.",Summary of the Establishment of the Data and Artificial Intelligence Review Board (DARB). This board is responsible for the implementation of the six principles of responsible use. The artificial intelligence standard for NATO is due to be completed by the end of 2023.
,,,"NATO, NATO (Feb 7, 03), https://perma.cc/RW89-PXNL.",
Organisation for Economic Co-operation and Development (OECD),Yes,No,"Recommendation of the Council on Artificial Intelligence, OECD, https://perma.cc/PRU9-XL89.","Promulgated in 2019, it provides five principles on responsible stewardship of AI and five recommendations for implementation."
United Nations,Yes,Yes,"U.N. Secretary General, Roadmap for Digital Cooperation: Implementation of the Recommendations of the High-Level Panel on Digital Cooperation, U.N. Doc. A/74/821 (May 29, 2020), https://perma.cc/U889-LDYZ.","The present report serves to respond to and builds upon the report of the High-level Panel on Digital Cooperation. The current situation of digital cooperation is assessed, including in terms of the ongoing coronavirus disease (COVID-19) pandemic; urgent gaps and challenges are highlighted; and actions to strengthen global digital cooperation are set out."
United Nations,Yes,,"U.N., The Age of Digital Interdependence: Report of the UN Secretary-General's High-Level Panel on Digital Cooperation (June 2019), https://perma.cc/LDN5-UUAH.",
Chief Executives Board (United Nations),Yes,No,"U.N. Chief Executives Board for Coordination, Principles for the Ethical Use of Artificial Intelligence in the United Nations System, U.N. Doc.CEB/2022/2/Add.1, https://perma.cc/BQ2J-V572.","Adopted in October 2022, it implements 10 principles “grounded in ethics and human rights” to guide the use of AI within the entire United Nations system."
International Telecommunication Union (ITU) (United Nations),Yes,No,"ITU, United Nations Activities on Artificial Intelligence (AI) (22), https://perma.cc/QG3B.",Overview of 2022 projects and initiatives taken on by United Nations and other stakeholders to ensure AI is used for the betterment of humanity. Presented March 2023.
UNESCO (United Nations),Yes,No,"UNESCO, Recommendation on the Ethics of Artificial Intelligence (2022), https://perma.cc/6Q26-U2G8.","Adopted by UNESCO's General Conference in November 2021, it covers a selection of 11 areas for policy action and includes monitoring and evaluation standards."
