Jurisdiction,Type of Law,Citation,URL
Argentina,Statute,Ley No. 3.852 de 29 de julio de 2004 de la Provincia de Rio Negro,https://perma.cc/HR32-EEEP
Argentina,Statute,"Ley No. 24.742 del 27 de noviembre de 1996, Sistema Público de Salud",https://perma.cc/9QKR-WMKN
Argentina,Statute,"Ley No. 25.392 de 30 Noviembre de 2000, Registro Nacional de Donantes de Células Progenitoras Hematopoyéticas",https://perma.cc/U9BQ-3522
Argentina,Statute,"Ley No. 25.467 de 29 de agosto de 2001, Sistema Nacional de Ciencia, Tecnología e Innovación",https://perma.cc/XC52-CH2Y
Argentina,Statute,"Ley No. 26.879 de 3 de julio de 2013, Créase el Registro Nacional de Datos Genéticos",https://perma.cc/VK95-5PEL
Argentina,Statute,"Ley No. 5.165 de 1 de septiembre de 2005 de la Provincia de Catamarca, Garantía y Resguardo del Derecho a la Dignidad, Identidad e Integración de Todas las Personas en Relación a su Patrimonio Genético",https://perma.cc/AE53-PTMM
Argentina,Statute,Ley No. 5.228 de 10 de octubre de 2004 de la Provincia de Chubut,https://perma.cc/9H24-62EA
Argentina,Statute,Ley No. 6.196 de 2008 de la Provincia de Chaco,https://perma.cc/23FR-LXSW
Argentina,Statute,"Ley No. 649 de 18 de noviembre de 2004 de la Provincia de Tierra del Fuego, Adhesión de la Provincia a la Ley Nacional No. 25.392, sobre Registro Nacional de Donantes de Células Progenitoras Hematopoyéticas",https://perma.cc/Q589-CR8E
Argentina,Statute,"Ley No. 712 de 29 de noviembre de 2001 de la Ciudad Autónoma de Buenos Aires, de Garantías del Patrimonio Genético Humano",https://perma.cc/EFY9-M3LH
,,"Ley No. 8.953 de 19 de septiembre de 2001 de la Provincia de Córdoba, Inviolabilidad del Genoma Humano-Establecimiento y Garantización en la Provincia--Prohibiciones y Sanciones",https://perma.cc/RGD9-KAJ9
,Presidential Decree,"Decreto No. 200 de 8 de marzo de 1997, Prohíben los Experimentos de Clonación Relacionados con Seres Humanos",https://perma.cc/4PSR-JCYC
,Regulatory Decree,"Decreto Reglamentario No. 267, sobre el Registro Nacional de Donantes de Células creados por Ley No. 25.392 de 13 de febrero de 2003",https://perma.cc/JF8Q-342Q
Brazil,Constitution,Constituicao Federal,https://perma.cc/D8KL-2TYJ
Brazil,Statute,"Lei No. 9,434, de 4 de Fevereiro de 1997",https://perma.cc/WP43-QU96
Brazil,Statute,"Lei No. 10.973, de 2 de Dezembro de 2004, as amended by Lei No.13.243, de 11 de Janeiro de 2016",https://perma.cc/3JRM-669G
Brazil,Statute,Lei No. 11.105 de 24 de Março de 2005,https://perma.cc/3C32-R4YL
Brazil,Presidential Decree,"Decreto No. 5.591, de 22 de Novembro de 2005",https://perma.cc/66LM-PWJQ
Brazil,Regulation,"ANVISA, Resolução No. 9, de 14 de Março de 2011",https://perma.cc/3D4Z-QA4W
Brazil,Regulation,"ANVISA, Resolução RDC No. 23, de 27 de Maio de 2011",https://perma.cc/879S-96VG
Brazil,Regulation,"ANVISA, Resolução RDC No. 29, de 12 de Maio de 2008",https://perma.cc/37WS-LXVX
Brazil,Regulation,"ANVISA, Resolução RDC No. 33, de 17 de Fevereiro de 2006",https://perma.cc/4CTR-EKJ9
Brazil,Regulation,"ANVISA, Resolução RDC No. 214, de 7 de Fevereiro de 2018",https://perma.cc/J5T2-KEBX
Brazil,Regulation,"ANVISA, Resolução RDC No. 508, de 27 de Maio de 2021",https://perma.cc/3WM2-4ZM2
Brazil,Regulation,"ANVISA, Resolução RDC No. 771, de 26 de Dezembro de 2022",https://perma.cc/7VKE-WPBW
Brazil,Regulation,"CNS, Resolução No. 400, de 17 de Abril de 2008",https://perma.cc/4JVF-XFKL
Brazil,Regulation,"CNS, Resolução No. 466, de 12 de Dezembro de 2012",https://perma.cc/4C33-55VS
,,"Ministério da Saúde, Portaria No. 2.526, de 21 de Dezembro de 2005",https://perma.cc/2BU7-6EKF
,Bill of Law,"Senado Federal, Projeto de Lei No. 5.153, de 2020",https://perma.cc/NQ7F-FBGW
Chile,Statute,"DFL No. 725 de 1968, Código Sanitario",https://perma.cc/V4QB-MB27
Chile,Statute,"Ley No. 20.120 de 2006, Sobre la Investigación Científica en el Ser Humano, su Genoma, y Prohibe la Clonación Humana",https://perma.cc/W76D-JVHE
Chile,Statute,"Ley No. 20.584 de 2012, Regula los Derechos y Deberes que Tienen las Personas en Relación a su Atención en Salud",https://perma.cc/WL99-RTW2
Chile,Executive Order,"Norma Técnica No. 57, Regulación de la Ejecución de Ensayos Clínicos que Utilizan Productos Farmacéuticos en Seres Humanos (Ministerio de Salud, 2001)",https://perma.cc/48QS-Z3P2
Chile,Regulation,"Decreto No. 114 de 22 de noviembre de 2010, Reglamento de la Ley No. 20.120, sobre la Investigación Científica en el Ser Humano",https://perma.cc/4FBX-7QGN
Costa Rica,Statute,Ley No. 9234 de 2014. Ley Reguladora de Investigación Biomédica,https://perma.cc/NAN4-SM52
Costa Rica,Executive Decree,Decreto Ejecutivo No. 339061-S de 2018. Reglamento a la Ley Reguladora de Investigación Biomedica,https://perma.cc/THY5-F8X2
Costa Rica,Executive Decree,Decreto Ejecutivo No. 39986-S de 2016. Autorización para las Terapias Regenerativas con Células Madre Adultas,https://perma.cc/KDX8-PTVP
Costa Rica,Executive Decree,Decreto Ejecutivo No. 40884-S de 2018. Reglamento Orgánico del Consejo Nacional de Investigación en Salud (CONIS),https://perma.cc/H7QP-ESSP
Costa Rica,Executive Decree,Decreto Ejecutivo No. 35244 de 2009. Reglamento del Sistema Nacional de Farmacovigilancia,https://perma.cc/3HCR-JYQR
Costa Rica,Executive Decree,Decreto Ejecutivo No. 39417 de 2015. Reglamento de Buenas Prácticas de Farmacovigilancia,https://perma.cc/Q5A7-WWMP
El Salvador,Legislative Decree,Decreto No. 234 de 2013. Ley de Desarrollo Científico y Tecnológico,https://perma.cc/Q3Q8-XK6P
El Salvador,Legislative Decree,Decreto No. 302 de 2019. Ley del Sistema Nacional Integrado de Salud,https://perma.cc/HQU8-E75Q
El Salvador,Legislative Decree,"Decreto No. 348 DE 2022. Ley Especial sobre Transplante de Células, Tejidos y Órganos Humanos",https://perma.cc/2H6Q-XJ57
Mexico,Statute,"Ley General de Salud, as amended through 2023, arts. 17-bis, 96,97,100, D.O.F., Feb. 7, 1984",https://perma.cc/SSN7-2MCY
Mexico,Regulation,"Reglamento de la Ley General de Salud en Materia de Investigación para la Salud, as amended, arts. 2,5-A(I), 16,20, & 21, D.O.F., Jan. 6, 1987",https://perma.cc/62SS-9JZ7
Panama,Statute,"Ley 84 de 2019 que Regula y Promueve la Investigación para la Salud y Establece Su Rectoría y Gobernanza, y Dicta Otras Disposiciones, Gaceta Oficial, May 16, 2019",https://perma.cc/L76V-AXEG
Panama,Executive Decree,"Decreto Ejecutivo N° 179 que Reglamenta la Investigación con Tejidos y Células de Origen Humano en la República de Panamá, Gaceta Oficial, June 13, 2018",https://perma.cc/YC5P-JHU5
