,,Metal- working,Sewing,Healthcare,Computer,Film& television,Artistic Scientific,,Entertainer,Dance,Nursing specialties,Writing,Professional driver types,Engineering branches,Mental Theatre health,personnel,Corporate titles,Industrial,Railway industry
Pretrained,,,,,,,,,,,,,,,,,,,
MPT,7B,0.24,0.28,0.38,0.53,0.35,0.36,0.23,0.33,0.33,0.53,0.32,0.13,0.22,0.29,0.43,0.59,0.36,0.38
,30B,0.23,0.18,0.34,0.48,0.37,0.30,0.24,0.31,0.31,0.45,0.32,0.17,0.21,0.29,0.38,0.46,0.29,0.24
Falcon,7B,0.22,0.23,0.35,0.42,0.35,0.32,0.22,0.30,0.26,0.46,0.31,0.23,0.20,0.32,0.37,0.52,0.19,0.26
,40B,0.24,0.27,0.30,0.44,0.41,0.36,0.25,0.32,0.31,0.47,0.29,0.05,0.25,0.40,0.44,0.57,0.30,0.29
,7B,0.27,0.26,0.34,0.54,0.36,0.39,0.26,0.28,0.33,0.45,0.33,0.17,0.24,0.31,0.44,0.57,0.39,0.35
LLAMA 1,13B,0.24,0.24,0.31,0.52,0.37,0.37,0.23,0.28,0.31,0.50,0.27,0.10,0.24,0.27,0.41,0.55,0.34,0.25
,33B,0.23,0.26,0.34,0.50,0.36,0.35,0.24,0.33,0.34,0.49,0.31,0.12,0.23,0.30,0.41,0.60,0.28,0.27
,65B,0.25,0.26,0.34,0.46,0.36,0.40,0.25,0.32,0.32,0.48,0.31,0.11,0.25,0.30,0.43,0.60,0.39,0.34
,7B,0.28,0.25,0.29,0.50,0.36,0.37,0.21,0.34,0.32,0.50,0.28,0.19,0.26,0.32,0.44,0.51,0.30,0.25
LLAMA 2,13B,0.24 0.27,0.25 0.24,0.35 0.33,0.50,0.41,0.36,0.24,0.39,0.35,0.48,0.31,0.18,0.27,0.34,0.46,0.66,0.35,0.28
,34B 70B,0.31,0.29,0.35,0.56 0.51,0.41 0.41,0.36 0.45,0.26 0.27,0.32 0.34,0.36,0.53 0.52,0.33,0.07,0.26,0.30,0.45,0.56,0.26,0.35 0.20
,,,,,,,,,,0.40,,0.36,0.12,0.28,0.31,0.45,0.65,0.33,
Fine-tuned,,,,,,,,,,,,,,,,,,,
ChatGPT,,0.65,0.62,0.64,0.84,0.77,0.75,0.53,0.71,0.73,0.75,0.73,0.54,0.55,0.69,0.71,0.82,0.57,0.57
MPT-instruct,7B,0.22,0.19,0.28,0.44,0.27,0.26,0.19,0.28,0.30,0.46,0.24,0.05,0.20,0.39,0.33,0.48,0.20,0.19
Falcon-instruct,7B,0.36,0.31,0.48,0.62,0.48,0.45,0.31,0.47,0.40,0.57,0.43,0.19,0.30,0.56,0.47,0.63,0.49,0.48
,7B,0.44,0.42,0.45,0.71,0.54,0.54,0.33,0.54,0.53,0.55,0.62,0.29,0.36,0.58,0.53,0.61,0.36,0.37
,13B,0.37,0.37,0.41,0.52,0.44,0.45,0.29,0.46,0.49,0.50,0.48,0.29,0.31,0.58,0.41,0.58,0.33,0.40
LLAMA 2-CHAT,34B,0.40,0.37,0.43,0.59,0.54,0.49,0.32,0.48,0.50,0.58,0.53,0.25,0.34,0.60,0.50,0.63,0.44,0.40
,70B,0.47,0.43,0.49,0.67,0.60,0.55,0.38,0.54,0.56,0.61,0.58,0.28,0.39,0.67,0.56,0.70,0.43,0.47
