Model,Model,MAVEN-ERE,MAVEN-ERE,Causal-TimeBank,Causal-TimeBank
,,Micro-F1 (%),LI(%)↓,Micro-F1 (%),L1(%)↓
oqInL,w. all logical constraints w.retrieved logical constraints,20.8 22.3,30.9,20.0 22.0,36.8
oqInL,w. post-processing,14.0,30.2 0,15.0,11.3 0
oqInL,w. all logical constraints,27.0,25.6,31.0,
DiTiiir,w.retrieved logical constraints,27.8,30.8,22.0,21.8 40.5
DiTiiir,w. post-processing,14.8,0,19.0,0
DiTiiir,w. all logical constraints,37.3,8.3,26.0,20.0
G-PP4,w.retrieved logical constraints,33.5,28.8,24.0,13.5
G-PP4,w. post-processing,17.0,0,19.0,0
G-PP4,w. all logical constraints,15.2,37.6,11.0,23.5
Vuntia,W. retrieved logical constraints,15.7,33.2,10.0,26.7
Vuntia,w. post-processing,9.8,0,9.0,0
Vuntia,w. all logical constraints,19.5,,,
zaara,w. retrieved logical constraints,,34.6,10.0,23.5
zaara,,18.3,38.2,9.5,26.7
zaara,w. post-processing,12.0,0,9.5,0
