Method,Retrieval Source,Retrieval Data Type,Retrieval Granularity,Augmentation,Retrieval process,
Method,Retrieval Source,Retrieval Data Type,Retrieval Granularity,Augmentation,Retrieval process,Stage
CoG[29],Wikipedia,Text,Phrase,Pre-training,Iterative,
DenseX [30],FactoidWiki,Text,Proposition,Inference,Once,
EAR [31],Dataset-base,Text,Sentence,Tuning,Once,
UPRISE [20],Dataset-base,Text,Sentence,Tuning,Once,
RAST [32],Dataset-base,Text,Sentence,Tuning,Once,
Self-Mem [17],Dataset-base,Text,Sentence,Tuning,Iterative,
FLARE [24],"Search Engine,Wikipedia",Text,Sentence,Tuning,Adaptive,
PGRA [33],Wikipedia,Text,Sentence,Inference,Once,
FILCO [34],Wikipedia,Text,Sentence,Inference,Once,
RADA [35],Dataset-base,Text,Sentence,Inference,Once,
Filter-rerank [36],Synthesized dataset,Text,Sentence,Inference,Once,
R-GQA [37],Dataset-base,Text,Sentence Pair,Tuning,Once,
LLM-R [38],Dataset-base,Text,Sentence Pair,Inference,Iterative,
TIGER [39],Dataset-base,Text,Item-base,Pre-training,Once,
LM-Indexer [40],Dataset-base,Text,Item-base,Tuning,Once,
BEQUE [9],Dataset-base,Text,Item-base,Tuning,Once,
CT-RAG [41],Synthesized dataset,Text,Item-base,Tuning,Once,
Atlas [42],"Wikipedia, Common Crawl",Text,Chunk,Pre-training,Iterative,
RAVEN [43],Wikipedia,Text,Chunk,Pre-training,Once,
RETRO++ [44],Pre-training Corpus,Text,Chunk,Pre-training,Iterative,
INSTRUCTRETRO [45],Pre-training corpus,Text,Chunk,Pre-training,Iterative,
RRR[7],Search Engine,Text,Chunk,Tuning,Once,
RA-e2e [46],Dataset-base,Text,Chunk,Tuning,Once,
PROMPTAGATOR [21],BEIR,Text,Chunk,Tuning,Once,
AAR [47],"MSMARCO,Wikipedia",Text,Chunk,Tuning,Once,
RA-DIT [27],"Common Crawl,Wikipedia",Text,Chunk,Tuning,Once,
RAG-Robust [48],Wikipedia,Text,Chunk,Tuning,Once,
RA-Long-Form [49],Dataset-base,Text,Chunk,Tuning,Once,
CoN [50],Wikipedia,Text,Chunk,Tuning,Once,
Self-RAG [25],Wikipedia,Text,Chunk,Tuning,Adaptive,
BGM [26],Wikipedia,Text,Chunk,Inference,Once,
CoQ [51],Wikipedia,Text,Chunk,Inference,Iterative,
Token-Elimination [52],Wikipedia,Text,Chunk,Inference,Once,
PaperQA[53],"Arxiv,Online Database,PubMed",Text,Chunk,Inference,Iterative,
NoiseRAG [54],FactoidWiki,Text,Chunk,Inference,Once,
IAG [55],"Search Engine,Wikipedia",Text,Chunk,Inference,Once,
NoMIRACL [56],Wikipedia,Text,Chunk,Inference,Once,
ToC[57],"Search Engine,Wikipedia",Text,Chunk,Inference,Recursive,
SKR [58],"Dataset-base,Wikipedia",Text,Chunk,Inference,Adaptive,
ITRG [59],Wikipedia,Text,Chunk,Inference,Iterative,
RAG-LongContext [60],Dataset-base,Text,Chunk,Inference,Once,
ITER-RETGEN [14],Wikipedia,Text,Chunk,Inference,Iterative,
IRCoT[61],Wikipedia,Text,Chunk,Inference,Recursive,
LLM-Knowledge-Boundary [62],Wikipedia,Text,Chunk,Inference,Once,
RAPTOR[63],Dataset-base,Text,Chunk,Inference,Recursive,
RECITE [22],LLMs,Text,Chunk,Inference,Once,
ICRALM [64],"Pile,Wikipedia",Text,Chunk,Inference,Iterative,
Retrieve-and-Sample [65],Dataset-base,Text,Doc,Tuning,Once,
Zemi [66],C4,Text,Doc,Tuning,Once,
CRAG [67],Arxiv,Text,Doc,Inference,Once,
1-PAGER [68] PRCA [69],Wikipedia,Text,Doc,Inference,Iterative,
,Dataset-base,Text,Doc,Inference,Once,
QLM-Doc-ranking [70] Recomp [71],Dataset-base Wikipedia,Text,Doc,Inference,Once,
DSP [23],Wikipedia,Text Text,Doc Doc,Inference Inference,Once,
RePLUG [72],Pile,Text,Doc,,Iterative,
ARM-RAG [73],Dataset-base,Text,Doc,Inference,Once,
GenRead [13],LLMs,Text,Doc,Inference,Iterative,
UniMS-RAG [74],,,,Inference,Iterative,
CREA-ICL [19] PKG [75],Dataset-base Dataset-base,"Text Crosslingual,Text Tabular,Text",Multi Sentence,Tuning Inference,Once Once,
