Problem,Check the followingA missing pixel does not constitute an out of spec. defectiveproduct,Check the followingA missing pixel does not constitute an out of spec. defectiveproduct
There is a black dot or deadpixel dot on the screen,Check the followingA missing pixel does not constitute an out of spec. defectiveproduct,Check the followingA missing pixel does not constitute an out of spec. defectiveproduct
Cannot turn power on,"Turn off the power supply, and check that the AC cord or DC cord are securely inserted. After checking, turn on the power supplyagain.","Turn off the power supply, and check that the AC cord or DC cord are securely inserted. After checking, turn on the power supplyagain."
It takes time for image toappear,"Since the monitor processes various signals digitally toreproduce beautiful images, it may take time before imagesappear when it is turned on, input is switched, or when themode is switched to “Multi Window"".","Since the monitor processes various signals digitally toreproduce beautiful images, it may take time before imagesappear when it is turned on, input is switched, or when themode is switched to “Multi Window""."
There are spots on the screen,"There may be electrical distortion from vehicles, trains, highvoltage lines or fluorescent lamps.","There may be electrical distortion from vehicles, trains, highvoltage lines or fluorescent lamps."
Bad color,Color density or tint control may not be adjusted properly. (Seethe adjusted value of image.),Color density or tint control may not be adjusted properly. (Seethe adjusted value of image.)
Image appears and disappears,Input may not be connected properly.,Input may not be connected properly.
"When changing the scan size, the top and bottom part of the screen does not show images","When using a video software program (such as a cinema size program) with a screen wider than one in the 16:9 mode, blank areas separate from the images are formed at the top andbottom of the screen.","When using a video software program (such as a cinema size program) with a screen wider than one in the 16:9 mode, blank areas separate from the images are formed at the top andbottom of the screen."
Image contour flickers,"Due to the characteristics of the display control, contour of animated parts of images may seem to flicker, but that is not abreakdown.","Due to the characteristics of the display control, contour of animated parts of images may seem to flicker, but that is not abreakdown."
Color is extremely bad,"Input configuration “RGB""/""YPBPR"" may not be selectedproperly.","Input configuration “RGB""/""YPBPR"" may not be selectedproperly."
The POWER indicator is flashing orange,"After checking the number of flashes, turn offthe power andcontact the dealer where the monitor was purchased.","After checking the number of flashes, turn offthe power andcontact the dealer where the monitor was purchased."
