Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato,Table:Identifythttttteetcovideato
AgencyComponent Name,AgencyComponentDescription,FEA SRM ServiceDomain,FEA SRM Service Type,FEA SRMComponent (a),ServiceComponent Reused Name(b),ServiceComponentReused UPI(b),Internal or ExternalReuse? (c),BY FundingPercentage (d)
Management,of capabilitiesthat manage andcontrol aparticular effortofanorganization.,ManagementServices,Processes,ProjectManagement,,,,
OrganizationalManagement,Definesthe setof capabilitiesthatsupportmultiple usersworkingonrelated tasks.,BusinessManagementServices,OrganizationalManagement,Workgroup/Groupware,,,No Reuse,
AssistanceRequest,Support thesolicitation ofsupport from acustomer,CustomerServices,CustomerInitiatedAssistance,AssistanceRequest,,,No Reuse,
InformationMapping/Taxonomy,"Defines the setof capabilitiesthat support thecreation andmaintenance ofrelationshipsbetween dataentities,namingstandardsandcategorization.IPMSsupportsthesecapabilities usingERWIN.",Digital AssetServices,KnowledgeManagement,InformationMapping /Taxonomy,,,No Reuse,2
InformationSharing,Defines the setof capabilitiesthat support theuse ofdocuments anddata in a multi-userenvironment forusebyanorganization anditsstakeholders.IPMSaccomplishesthesecapabilities usingthe KnowledgeCenter/BusinessObjects forDomesticpersonnel.,Digital AssetServices,KnowledgeManagement,InformationSharing,,,No Reuse,
KnowledgeCapture,Defines the setofcapabilitiesthat facilitatecollection of dataand information.IPMS supportsthesecapabilities usingBusinessObjects/KnowledgeCenter.,Digital AssetServices,KnowledgeManagement,KnowledgeCapture,,,No Reuse,
Record Linking /Association,Defines the setof capabilitiesthat support thecorrelationbetween logicaldata andinformation sets.,Digital AssetServices,RecordsManagement,Record Linking/Association,,,No Reuse,4
Query,Defines the setof capabilitiesthatsupportretrieval ofrecords thatsatisfy specificquery selectioncriteria.,SupportServices,Search,Query,,,No Reuse,2
IdentificationandAuthentication,Defines the setof capabilitiesthat supportobtaininginformationabout those,SupportServices,SecurityManagement,IdentificationandAuthentication,,,No Reuse,8
