ServiceSpecifications supporting this IT investment.,ServiceSpecifications supporting this IT investment.,ServiceSpecifications supporting this IT investment.,ServiceSpecifications supporting this IT investment.,ServiceSpecifications supporting this IT investment.
FEA SRM Component (a),FEA TRM Service Area,FEA TRM Service Category,FEA TRM Service Standard,"Service Specification (b)(i.e., vendor and productname)"
Software Development,ComponentFramework,Business Logic,Platform Dependent,Microsoft VB Script
Software Development,ComponentFramework,Business Logic,PlatformDependent,Microsoft Visual Basic
Software Development,ComponentFramework,Business Logic,PlatformIndependent,"Microsoft C,C++"
Information Sharing,Component Framework,Data Management,Database Connectivity,Microsoft Oracle OpenDatabase Connectivity (ODBC)
Information Sharing,Component Framework,Data Management,Reporting and Analysis,Microsoft Online AnalyticalProcessing (OLAP)
Information Sharing,ComponentFramework,DataManagement,ReportingandAnalysis,XMLforAnalysis
Software Development,Component Framework,Presentation/Interface,Content Rendering,ColdFusion Cascading StyleSheets (CSS)
Software Development,Component Framework,Presentation/Interface,Content Rendering,Dynamic HTML (DHTML)
Instrumentation and Testing,Component Framework,Presentation/Interface,Dynamic Server-Side Display,Hyper Text Markup Language（HTML)
Information Sharing,Component Framework,Presentation/Interface,Dynamic Server-Side Display,Microsoft Active ServerPagesASP）
Information Sharing,Component Framework,Presentation/Interface,Dynamic Server-Side Display,Microsoft Active Server PagesNet (ASP.Net)
Identification andAuthentication,Component Framework,Security,Certificates/Digital Signatures,Digital CertificateAuthentication
Identification andAuthentication,Component Framework,Security,Certificates/Digital Signatures,Secure Sockets Layer (SSL)
Information Sharing,ServiceAccessand Delivery,Access Channels,Other Electronic Channels,System to System
