TodemostratiedeisdService Specifications supportingthisITinvestment.,TodemostratiedeisdService Specifications supportingthisITinvestment.,TodemostratiedeisdService Specifications supportingthisITinvestment.,TodemostratiedeisdService Specifications supportingthisITinvestment.,TodemostratiedeisdService Specifications supportingthisITinvestment.
FEA SRM Component (a),FEA TRM Service Area,FEA TRM Service Category,FEA TRM Service Standard,"Service Specification (b)(i.e., vendor and product name)"
,Infrastructure,,,
System Resource Monitoring,Service PlatformandInfrastructure,Hardware/Infrastructure,Video Conferencing,Hoppman CommunicationsReceiver
Software Development,Service PlatformandInfrastructure,Software Engineering,Integrated DevelopmentEnvironment,Microsoft Visual Studio
Software Development,Service PlatformandInfrastructure,Software Engineering,Modeling,Unified Modeling LanguageUML)
Software Development,Service PlatformandInfrastructure,Software Engineering,Software ConfigurationManagement,Defect Tracking
Software Development,Service PlatformandInfrastructure,Software Engineering,Software ConfigurationManagement,Deployment Management
System Resource Monitoring,Service Platform andInfrastructure,Software Engineering,Software ConfigurationManagement,Microsoft ProjectProfessional/Project WebAccessTask Management
System Resource Monitoring,Service PlatformandInfrastructure,Software Engineering,Software ConfigurationManagement,MKS Change Management
System Resource Monitoring,Service Platform andInfrastructure,Software Engineering,Software ConfigurationManagement,MKS RequirementsManagementand Traceability
System Resource Monitoring,Service PlatformandInfrastructure,Software Engineering,Software ConfigurationManagement,MKS Version Management
System Resource Monitoring,Service PlatformandInfrastructure,Software Engineering,Software ConfigurationManagement,MKS Visual Source Safe DefectTracking
Instrumentation and Testing,Service PlatformandInfrastructure,Software Engineering,Test Management,Mercury Interactive FunctionalTesting
Instrumentation and Testing,Service PlatformandInfrastructure,Software Engineering,Test Management,Mercury Interactive InstallationTesting
Instrumentation and Testing,Service PlatformandInfrastructure,Software Engineering,Test Management,Mercury InteractiveLoad/Stress/Volume Testing
Instrumentation and Testing,Service PlatformandInfrastructure,Software Engineering,Test Management,Mercury Interactive Securityand AccessControl Testing
Instrumentation and Testing,Service PlatformandInfrastructure,Software Engineering,Test Management,Oracle Microsoft SQLServerMSSQL
Instrumentation and Testing,Service PlatformandInfrastructure,Software Engineering,Test Management,Usability Testing (508Testing)
