PenonanceTm,onmationTable,,,,,,,
Fiscal Year,StrategicGoal(s)Supported,MeasurementArea,MeasurementCategory,MeasurementGrouping,MeasurementIndicator,Baseline,Target,Actual Results
,ConsularandManagementCapabilities,Results,Benefit,Satisfaction,satisfaction ofprogramapplications,satisfaction,,users inDecember 2004with an updatedsurvey formatand received an80% satisfactionrating.
2005,StrengtheningConsular andManagementCapabilities,CustomerResults,ServiceAccessibility,Availability,NumberofEmployee Self-ServiceFunctionsavailable underIPMS.,5 Employee Self-ServiceFunctions,Increase to7,Increased to 8
2005,StrengtheningConsular andManagementCapabilities,CustomerResults,Timeliness andResponsiveness,Response Time,HR Help Deskresponse time,55minutes,Decrease to 50minutes,50 minutes
2005,StrengtheningConsular andManagementCapabilities,MissionandBusiness Results,Human ResourceManagement,Organization andPositionManagement,Agencyrankingscore on DoSCentralPersonnel DataFile (CPDF)submissions(score providedby OPM).,96-CPDFagency rankingscore,Maintain at 96(OPM passingscore),IPMSachievedan unofficialscore of 96.
2005,StrengtheningConsular andManagementCapabilities,ProcessesandActivities,Cycle Time andResource Time,Cycle Time,Timeliness ofDoSCPDFDynamicsrecords(percentageprovided byOPM).,89% transactiontimeliness,Increase to 90%(OPM expectedscore),IPMSachievedan unofficialscore of 90%.
2005,StrengtheningConsular andManagementCapabilities,ProcessesandActivities,Quality,Errors,DoSpercentageofCPDFdynamicsrecords withouterrors (actualpercentageprovided byOPM).,94% dynamicsrecords withouterrors,Increase to 95%(OPM expectedscore),IPMSachievedan unofficialscore of 94%.
2005,StrengtheningConsular andManagementCapabilities,Technology,ReliabilityandAvailability,Availability,Number of HRMservices underthe IPMSprogram.,64HRM services,Increase by 1service,Increased to 67services
2006,StrengtheningConsular andManagementCapabilities,CustomerResults,ServiceAccessibility,Availability,NumberofEmployee Self-service functionsavailableunderIPMS.,8Employee Self-service functions,Maintain8,MaintainedEmployee Self-service functionsof8
2006,StrengtheningConsular andManagementCapabilities,CustomerResults,TimelinessandResponsiveness,Response Time,HR Help Deskresponse time.,50 minutes,Decrease to 45minutes,45minutes
2006,StrengtheningConsular andManagementCapabilities,MissionandBusiness Results,Human ResourceManagement,HR Strategy,Agencyrankingscore on DoSCPDFsubmissions(score providedbyOPM),96- CPDFagency rankingscore,Maintainat96(OPM passingscore),OPM no longerprovidesactualresults data.
2006,StrengtheningConsular andManagementCapabilities,ProcessesandActivities,Cycle Time andResource Time,Cycle Time,Timeliness ofDoSCPDFdynamicsrecords (actualpercentageprovided byOPM),90% transactiontimeliness,Maintain at 90%(OPM expectedscore),OPMno longerprovidesactualresults data.
2006,StrengtheningConsular andManagementCapabilities,ProcessesandActivities,Quality,Errors,DoSpercentageofCPDFdynamicsrecords withouterrors (actualpercentageprovided byOPM),96% dynamicsrecords withouterrors,Maintainat 96%,OPM no longerprovidesactualresults data.
2006,StrengtheningConsular andManagementCapabilities,Technology,ReliabilityandAvailability,Availability,Nnumber of HRMservices underthe IPMSprogram.,67HRM services,Increase to 68,68HRM servicesare currentlyoffered.
2007,StrengtheningConsular andManagementCapabilities,CustomerResults,CustomerBenefit,CustomerSatisfaction,%IPMSusersatisfaction ofprogramapplications,82% IPMS usersatisfaction,Increase to 85%,Increased to90%
