"Years Ended December 31,",,2019,2018,2017
Reconciliation to consolidated net revenues:,Segment net revenues,"$ 5,969","$ 6,835","$ 6,765"
Reconciliation to consolidated net revenues:,Revenues from non-reportable segments (1),462,480,410
Reconciliation to consolidated net revenues:,Net effect from recognition (deferral) of deferred net revenues (2),101,238,-139
Reconciliation to consolidated net revenues:,Elimination of intersegment revenues (3),,-43,-53
Reconciliation to consolidated net revenues:,Consolidated net revenues,"$ 6,489","$ 7,500","$ 7,017"
Reconciliation to consolidated income before income tax expense:,Segment operating income,"$ 2,054","$ 2,446","$ 2,417"
Reconciliation to consolidated income before income tax expense:,Operating income (loss) from non-reportable segments (1),,24,31
Reconciliation to consolidated income before income tax expense:,Net effect from recognition (deferral) of deferred net revenues and related cost of revenues (2),,52,100
Reconciliation to consolidated income before income tax expense:,Share-based compensation expense,-166,-209,-178
Reconciliation to consolidated income before income tax expense:,Amortization of intangible assets,-203,-370,-757
Reconciliation to consolidated income before income tax expense:,Fees and other expenses related to the acquisition of King (4),,-,(15)
Reconciliation to consolidated income before income tax expense:,Restructuring costs (5),-137,-10,-15
Reconciliation to consolidated income before income tax expense:,Other non-cash charges (6),,-,(14)
Reconciliation to consolidated income before income tax expense:,Discrete tax-related items (7),-17,,(39)
Reconciliation to consolidated income before income tax expense:,Consolidated operating income,"1,607","1,988","1,309"
Reconciliation to consolidated income before income tax expense:,"Interest and other expense (income), net",-26,71,146
Reconciliation to consolidated income before income tax expense:,Loss on extinguishment of debt,,40,12
Reconciliation to consolidated income before income tax expense:,Consolidated income before income tax expense,"$ 1,633","$ 1,877","$ 1,151"
