Federal income tax provision at statutory rate,2019,2018,2017
$,343,394,403
21 %,21 %,21 %,35 %
"State taxes, net of federal benefit",20,36,4
1 %,2 %,—,
Research and development credits,(38),(46),(26)
(2),(2),(2),
Foreign rate differential,(104),(198),(271)
(7),(11),(24),
Change in tax reserves,96,285,291
6 %,15 %,25 %,
Acquired net operating loss utilization,—,—,(36)
—,—,(3),
Audit settlements,54,(115),—
3 %,(6),—,
Excess tax benefits related to share-based payments,(2),(58),(113)
—,(3),(10),
U.S. Tax Reform Act,—,(340),636
—,(18),55 %,
Change in valuation allowance,11,61,—
1 %,3 %,—,
Intra-entity IP Transfer,(230),—,—
(14),—,—,
Other,(20),10,(10)
(1),1 %,—,
Income tax expense,$,130,"29,878"
8 %,2 %,76 %,
