Exhibit Number,Exhibit Description,IncorporatedbyReference*,IncorporatedbyReference*,IncorporatedbyReference*,SEC File No.,Filed Herewith
Exhibit Number,Exhibit Description,Form,Filing Date,Exhibit Number,SEC File No.,Filed Herewith
3.1,Restated Certificate of Incorporation of Adobe Systems Incorporated,8-K,4/26/11,3.3,000-15175,
,3.2Amended and Restated Bylaws,8-K,10/30/12,3.1,000-15175,
,4.1Specimen Common Stock Certificate,10-Q,6/25/14,4.1,000-15175,
4.2,Form of Indenture,S-3,1/15/10,4.1,333-164378,
4.3,"Form of Global Note for Adobe Systems Incorporated's 4.750% Notes due 2020, together with Form of Officer's Certificate setting forth the terms of the Notes",8-K,1/26/10,4.1,000-15175,
4.4,"Form of Global Note for Adobe Systems Incorporated's 3.250% Notes due 2025, together with Form of Officer's Certificate setting forth the terms of the Notes",8-K,1/26/2015,4.1,000-15175,
,10.1AAmended 1994 Performance and Restricted Stock Plan*,10-Q,4/9/10,10.1,000-15175,
,10.1BForm of Restricted Stock Agreement used in connection with the Amended 1994 Performance and Restricted Stock Plan*,10-K,1/23/09,10.3,000-15175,
10.1C,Form of Restricted Stock Unit Agreement used in connection with the Amended 1994 Performance and Restricted Stock Plan*,10-K,1/26/12,10.13,000-15175,
10.2A,"1996 Outside Directors Stock Option Plan, as amended*",10-Q,4/12/06,10.6,000-15175,
,10.2BForms of Stock Option Agreements used in connection with the 1996 Outside Directors Stock Option Plan*,S-8,6/16/00,4.8,333-39524,
10.3,"1997 Employee Stock Purchase Plan, as amended*",10-Q,6/24/15,10.3,000-15175,
,"10.4A2003 Equity Incentive Plan, as amended*",8-K,4/10/15,10.1,000-15175,
10.4B,Form of Stock Option Agreement used in connection with the 20o3 Equity Incentive Plan*,8-K,12/20/10,99.4,000-15175,
10.4C,Form of RSU Grant Notice and Award Agreement pursuant to the 2003 Equity Incentive Plan*,8-K,1/28/15,10.6,000-15175,
Exhibit Number,Exhibit Description,IncorporatedbyReference**,IncorporatedbyReference**,IncorporatedbyReference**,SEC File No.,Filed Herewith
Exhibit Number,Exhibit Description,Form,Filing Date,Exhibit Number,SEC File No.,Filed Herewith
10.4D,Form of Restricted Stock Agreement used in connection with the 20o3 Equity Incentive Plan*,10-Q,10/7/04,10.11,000-15175,
10.4E,Form of Performance Share Program pursuant to the 2O03 Equity Incentive Plan (applicable to the 2012 Performance Share Program)*,8-K,1/26/12,10.2,000-15175,
10.4FA,Award Calculation Methodology to the 2012 Performance Share Program pursuant to the 2003 Equity Incentive Plan*,8-K,1/26/12,10.3,000-15175,
10.4G,Form of Performance Share Award Grant Notice and Performance Share Award Agreement pursuant to the 2003 Equity Incentive Plan (applicable to the 2012 Performance Share Program)*,10-K,1/26/12,10.61,000-15175,
10.4H,2013 Performance Share Program pursuant to the 2003 Equity Incentive Plan*,8-K,1/28/13,10.2,000-15175,
10.4I,Form of Performance Share Award Grant Notice and Performance Share Award Agreement pursuant to the 2003 Equity Incentive Plan (applicable to the 2013 Performance Share Program)*,8-K,1/28/13,10.3,000-15175,
,10.4J2014 Performance Share Program pursuant to8-K the 2003 Equity Incentive Plan*,,1/29/14,10.2,000-15175,
10.4K,Form of Performance Share Award Grant Notice and Performance Share Award Agreement pursuant to the 2003 Equity Incentive Plan (applicable to the 2014 Performance Share Program)*,8-K,1/29/14,10.3,000-15175,
10.4L,2015 Performance Share Program pursuant to the 2003 Equity Incentive Plan*,8-K,1/28/15,10.2,000-15175,
10.4M,Form of Performance Share Award Grant Notice and Performance Share Award Agreement pursuant to the 2003 Equity Incentive Plan (applicable to the 2015 Performance Share Program)*,8-K,1/28/15,10.3,000-15175,
10.4N,Form of Director Initial Grant Restricted Stock Unit Award Agreement used in connection with the 20o3 Equity Incentive Plan*,8-K,12/20/10,99.6,000-15175,
10.40,Form of Director Annual Grant Restricted Stock Unit Award Agreement used in connection with the 20o3 Equity Incentive Plan*,8-K,12/20/10,99.7,000-15175,
Exhibit Number,Exhibit Description,IncorporatedbyReference*,IncorporatedbyReference*,IncorporatedbyReference*,SEC File No.,Filed Herewith
Exhibit Number,Exhibit Description,Form,Filing Date,Exhibit Number,SEC File No.,Filed Herewith
10.4P,Form of Director Annual Grant Stock Option Agreement used in connection with the 2003 Equity Incentive Plan*,8-K,12/20/10,99.8,000-15175,
,"10.5A 2005 Equity Incentive Assumption Plan, as amended and restated*",10-Q,6/28/13,10.17,000-15175,
10.5B,Form of Stock Option Agreement used in connection with the 20o5 Equity Incentive Assumption Plan*,8-K,12/20/10,99.10,000-15175,
10.5C1,Form of RSU Grant Notice and Award Agreement pursuant to the 2005 Equity Incentive Assumption Plan*,8-K,1/28/13,10.7,000-15175,
10.6,"Retention Agreement between Adobe Systems Incorporated and Shantanu Narayen, effective December 5,2014*",8-K,12/11/14,10.20,000-15175,
10.71,Form of Indemnity Agreement*,10-Q,6/26/09,10.12,000-15175,
10.8A1,"Lease between Adobe Systems Incorporated and Selco Service Corporation, dated March 26,2007",8-K,3/28/07,10.1,000-15175,
10.8B,"Participation Agreement among Adobe Systems Incorporated, Selco Service Corporation, et al. dated March 26,2007",8-K,3/28/07,10.2,000-15175,
10.8C,"Master AmendmentNo.2 among Adobe Systems Incorporated, Selco Service Corporation and KeyBank National Association dated October 31,2011",10-K,1/22/13,10.13,000-15175,
10.9,"Adobe Systems Incorporated Deferred Compensation Plan,as Amended and Restated*",10-K,1/20/15,10.19,000-15175,
10.10A,"Credit Agreement, dated as of March 2,2012, among Adobe Systems Incorporated and certain subsidiaries as Borrowers, The Royal Bank of Scotland PLC and U.S.Bank National Association as Co-Documentation Agents, JPMorgan Chase Bank,N.A., as Syndication Agent, Bank of America, N.A. as Administrative Agent and Swing Line Lender, and the Other Lenders Party Thereto",8-K,3/7/12,10.1,000-15175,
10.10B,"First Amendment to Credit Agreement,dated as of July 27,2015 among the Company and Bank of America,N.A.as Administrative Agent and Swing Line Lender and the other lenders party thereto",8-K,7/30/15,10.1,000-15175,
Exhibit Number,Exhibit Description,IncorporatedbyReference*,IncorporatedbyReference*,IncorporatedbyReference*,IncorporatedbyReference*,Filed Herewith
Exhibit Number,Exhibit Description,Form,Filing Date,Exhibit Number,SEC File No.,Filed Herewith
,"10.11A Omniture, Inc.1999 Equity Incentive Plan, as amended (the “Omniture 1999 Plan)*",S-1,4/4/06,,10.2A333-132987,
10.11B,Forms of Stock Option Agreement under the Omniture 1999 Plan*,S-1,4/4/06,,10.2B333-132987,
10.11C,Form of Stock Option Agreement under the Omniture 1999 Plan used for Named Executive Officers and Non-Employee Directors*,S-1,6/9/06,,10.2C333-132987,
10.12,"Omniture, Inc.2006 Equity Incentive Plan and related forms*",10-Q,8/6/09,10.3,000-52076,
10.13,"Omniture, Inc.2007 Equity Incentive Plan and related forms*",10-K,2/27/09,10.9,000-52076,
10.14,"Omniture, Inc.20o8 Equity Incentive Plan and related forms*",10-K,2/27/09,10.10,000-52076,
10.15A,"Visual Sciences,Inc. (formerly, WebSideStory, Inc.) 2004 Equity Incentive Award Plan (the“VS 2004 Plan"") and Form of Option Grant Agreement*",10-K,2/29/08,10.6,000-52076,
10.15B,Form of Restricted Stock Award Grant Notice and Restricted Stock Award Agreement under the VS 2004 Plan*,10-K,2/29/08,10.6A,000-52076,
10.16,"Demdex, Inc.2008 Stock Plan, as amended*",S-8,1/27/11,99.1,333-171902,
10.17,"EchoSign,Inc.2005 Stock Plan,as amended*",S-8,7/29/11,99.1,333-175910,
10.18,"TypeKit, Inc. 2009 Equity Incentive Plan, as amended*",S-8,10/7/11,99.1,333-177229,
,"10.19Auditude, Inc.2009 Equity Incentive Plan,as amended*",S-8,11/18/11,,99.1333-178065,
10.20,"Auditude, Inc. Employee Stock Option Plan, as amended*",S-8,11/18/11,99.2,333-178065,
10.21,Description of 2012 Director Compensation*,10-K,1/26/12,10.76,000-15175,
10.22,2012 Executive Annual Incentive Plan*,8-K,1/26/12,10.4,000-15175,
10.23,"Efficient Frontier,Inc.2003 Stock Option/ Stock Issuance Plan, as Amended and Restated*",S-8,1/27/12,99.1,333-179221,
Exhibit Number,Exhibit Description,Form Filing Date,Form Filing Date,Exhibit Number,SEC File No.,Filed Herewith
Exhibit Number,Exhibit Description,8-K,12/5/12,Exhibit Number,SEC File No.,Filed Herewith
10.24,"Nomination and Standstill Agreement between the Company and the ValueAct Group dated December4,2012",,,99.1,000-15175,
,"10.25A Behance,Inc.2012 Equity Incentive Plan*",S-8,1/23/13,99.1,333-186143,
10.25B,"Amendment No.1 to the Behance, Inc. 2012 Equity Incentive Plan*",S-8,1/23/13,99.2,333-186143,
,10.262013 Executive Annual Incentive Plan*,8-K,1/28/13,10.5,000-15175,
,10.27Neolane 2008 Stock Option Plan*,S-8,8/27/13,99.1,333-190846,
10.282,2012 Neolane Stock Option Plan for The United States*,S-8,8/27/13,99.2,333-190846,
10.29,Description of 2013 Director Compensation*,10-K,1/21/14,10.80,000-15175,
10.30,Description of 2014 Director Compensation*,10-K,1/21/14,10.81,000-15175,
10.31,Description of 2015 Director Compensation*,10-K,1/20/15,10.52,000-15175,
10.32,Description of 2016 Director Compensation*,,,,,X
,10.332014 Executive Annual Incentive Plan*,8-K,1/29/14,10.5,000-15175,
,10.342015 Executive Annual Incentive Plan*,8-K,1/28/15,10.5,000-15175,
,"10.35A Aviary, Inc.2008 Stock Plan,as amended",S-8,9/26/14,99.1,333-198973,
10.35B,"Form of Stock Option Grant Notice and Award Agreement pursuant to the Aviary, Inc. 2008 Stock Plan (Installment Vesting)",S-8,9/26/14,,99.2333-198973,
10.35C U.S.),"Form of Stock Option Grant Notice and Award Agreement pursuant to the Aviary, Inc. 2008 Stock Plan (Installment Vesting, Non-",S-8,9/26/14,99.3333-198973,,
10.36,"Picasso Acquisition Holding 1, Inc. 2012 Stock Option and Grant Plan",S-8,3/13/15,99.1,333-202732,
10.37,Adobe Systems Incorporated 2014 Executive Severance Plan in the Event of a Change of Control*,8-K,12/11/14,10.1,000-15175,
12.1,Ratio of Earnings to Fixed Charges,,,,,X
,21Subsidiaries of the Registrant,,,,,X
Exhibit Number Exhibit Description,,IncorporatedbyReference**,IncorporatedbyReference**,IncorporatedbyReference**,SEC File No.,Filed Herewith
Exhibit Number Exhibit Description,,Form,Filing Date,Exhibit Number,SEC File No.,Filed Herewith
23.1,,,,,,X
,"Consent of Independent Registered Public Accounting Firm, KPMG LLP",,,,,
24.11 31.1,"Power of Attorney (set forth on the signature page to this Annual Report on Form 10-K) Certification of Chief Executive Officer, as",,,,,X
,required by Rule 13a-14(a) of the Securities Exchange Act of 1934,,,,,X
31.2,"Certification of Chief Financial Officer, as required by Rule 13a-14(a) of the Securities Exchange Act of 1934",,,,,X
32.1,"Certification of Chief Executive Officer, as required by Rule 13a-14(b) of the Securities Exchange Act of 1934†",,,,,X
32.2,"Certification of Chief Financial Officer, as required by Rule 13a-14(b) of the Securities Exchange Act of 1934†",,,,,X
101.INS,XBRL Instance,,,,,X
,101.SCHXBRL Taxonomy Extension Schema,,,,,X
,101.CALXBRL Taxonomy Extension Calculation,,,,,X
,101.LABXBRL Taxonomy Extension Labels,,,,,X
,101.PREXBRL Taxonomy Extension Presentation,,,,,X
