Fiscal,2015,Increase/(Decrease),Fiscal,2014
Revenue impact:,,EMEA:,Euro,"""$(104.3),12.3"""
Revenue impact:,,EMEA:,British Pound,"""$(16.1),12.9"""
Revenue impact:,,EMEA:,Other currencies,"""$(12.3),-0.2"""
Revenue impact:,,Total EMEA,$(132.7),25.0
Revenue impact:,,Japanese Yen,$(35.0),-25.7
Revenue impact:,,Other currencies,$(23.9),-8.9
Revenue impact:,,Total revenue impact,$(191.6),-9.6
Hedging impact:,,EMEA,40.1,10.1
Hedging impact:,,Japanese Yen,16.2,8.6
Hedging impact:,,Total hedging impact,56.3,18.7
Total impact,$(135.3),9.1,,
