Years Ended,"November 27,2015","November 28,2014","November 29,2013"
Revenue: Subscription,"$ 3,223,904","$ 2,076,584","$ 1,137,856"
Revenue: Product,"1,125,146","1,627,803","2,470,098"
Revenue: Services and support,"446,461","442,678","447,286"
Revenue: Total revenue,"4,795,511","4,147,065","4,055,240"
Cost of revenue: Subscription,"409,194","335,432","278,077"
Cost of revenue: Product,"90,035","97,099","138,154"
Cost of revenue: Services and support,"245,088","189,549","170,326"
Cost of revenue: Total cost of revenue,"744,317","622,080","586,557"
Gross profit,"4,051,194","3,524,985","3,468,683"
Operating expenses: Research and development,"862,730","844,353","826,631"
Operating expenses: Sales and marketing,"1,683,242","1,652,308","1,620,454"
Operating expenses: General and administrative,"531,919","543,332","520,124"
Operating expenses: Restructuring and other charges,"1,559","19,883","26,497"
Operating expenses: Amortization of purchased intangibles,"68,649","52,424","52,254"
Operating expenses: Total operating expenses,"3,148,099","3,112,300","3,045,960"
Operating income,"903,095","412,685","422,723"
Non-operating income (expense): Interest and other income (expense), net,"33,909","7,267,4,941"
Non-operating income (expense): Interest expense,"(64,184)","(59,732)","(67,508)"
Non-operating income (expense): Investment gains (losses), net,961,"1,156,(4,015)"
Non-operating income (expense): Total non-operating income (expense), net,"(29,314)","(51,309),(66,582)"
Income before income taxes,"873,781","361,376","356,141"
Provision for income taxes,"244,230","92,981","66,156"
Net income,"$ 629,551","$ 268,395","$ 289,985"
Basic net income per share,$ 1.26,$ 0.54,$ 0.58
Shares used to compute basic net income per share,"498,764","497,867","501,372"
Diluted net income per share,$ 1.24,$ 0.53,$ 0.56
Shares used to compute diluted net income per share,"507,164","508,480","513,476"
