Assets,Total,Quoted Prices in Active Markets for Identical Assets,Significant Other Observable Inputs,Significant Unobservable Inputs
Money market mutual funds,"$ 482,479","$ 482,479",$,
Municipal securities,"1,849",,"1,849",
Time deposits,"13,461","13,461",,
U.S. Treasury securities,"26,400",,"26,400",
Corporate bonds and commercial paper,"1,886,914",,"1,886,914",
Asset-backed securities,"83,314",,"83,314",
Foreign government securities,"1,268",,"1,268",
Municipal securities,"137,332",,"137,332",
U.S. agency securities,"130,468",,"130,468",
U.S. Treasury securities,"872,228",,"872,228",
Foreign currency derivatives,"19,126",,"19,126",
Deferred compensation plan assets,"32,063",971,"31,092",
Interest rate swap derivatives,"19,821",,"19,821",
Total assets,"$ 3,706,723","$ 496,911","$ 3,209,812",
Liabilities,Accrued expenses,Foreign currency derivatives,"$ 2,154","$ 2,154"
Total liabilities,"$ 2,154",,"$ 2,154","$ 2,154"
