($000s),2020,2019
Sale of Goods,,
Sale of Goods,Australia / New Zealand,"124,081"
Sale of Goods,Australia / New Zealand,"137,684"
Sale of Goods,Asia,"25,466"
Sale of Goods,Asia,"34,393"
Sale of Goods,Africa,"28,364"
Sale of Goods,Africa,"33,417"
Sale of Goods,Europe,"42,078"
Sale of Goods,Europe,"36,672"
Sale of Goods,Americas,"20,532"
Sale of Goods,Americas,6346
Sale of Goods,Total Sale of Goods,"240,521"
Sale of Goods,Total Sale of Goods,"248,512"
Franchise Revenue,,
Franchise Revenue,Middle East,"1,460"
Franchise Revenue,Middle East,"1,385"
Franchise Revenue,Asia,195
Franchise Revenue,Asia,385
Franchise Revenue,Total Franchise Revenue,"1,655"
Franchise Revenue,Total Franchise Revenue,1.770
Total Revenue,Total Revenue,"242,176"
Total Revenue,Total Revenue,"250,282"
