28 June 2020,Carrying Amount,Carrying Amount,Carrying Amount,Carrying Amount,Carrying Amount,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value
Consolidated ($000s),Note,Hedging instruments,Loans and receivables,Other financial assets/ liabilities,Total,Level 1,Level 2,Level 3,,Total
Financial assets measured at fair value,,,,,,,,,,
Derivatives,,207,,,207,,,207,,207
Financial assets not,,207,,,207,,,207,,207
measured at fair value,,,,,,,,,,
Trade and other receivables,B1,,"7,876",,"7,876",,,,,
Cash and cash equivalents,C5,,"20,434",,"20,434",,,,,
Financial liabilities not,,,"28,310",,"28,310",,,,,
measured at fair value,,,,,,,,,,
Bank overdrafts,C5,,,,,,,,,
Trade and other payables,B7,,,"22,231","22,231",,,,,
,,,,"22,231","22,231",,,,,
