30 June 2019,Carrying Amount,Carrying Amount,Carrying Amount,Carrying Amount,Carrying Amount,Fair Value,Fair Value,Fair Value,Fair Value
Consolidated ($000s),Note,Hedging instruments,Loans and receivables,Other financial assets/ liabilities,Total,Level 1,Level Level 2,3,Total
Financial assets measured at fair value,,,,,,,,,
Derivatives,,645,,,645,=,645,-,645
,,645,,,645,,645,-,645
Financial assets not measured at fair value,,,,,,,,,
Trade and other receivables,B1,=,"7,413",=,"7,413",,,,
Cash and cash equivalents,C5,,"19,180",-,"19,180",,,,
,,,"26,593",■,"26,593",,,,
Financial liabilities not measured at fair value,,,,,,,,,
Bank overdrafts,C5,,,"7,988","7,988",,,,
Trade and other payables,B7,,,"23,659","23,659",,,,
,,,,"31,647","31,647",,,,
