28 June 2020,,,Contractual cash flows,Contractual cash flows,Contractual cash flows,Contractual cash flows,Contractual cash flows,
Consolidated ($000s),Carryingamount,Total,2 mths orless,2-12 mths,1-2 years,2-5More thanyears 5 years,2-5More thanyears 5 years,
Consolidated ($000s),Carryingamount,Total,2 mths orless,2-12 mths,1-2 years,2-5More thanyears 5 years,2-5More thanyears 5 years,5 years
Non-derivative financial liabilities,,,,,,,,
Trade payables,"12,032","12,032","12,032",-,,,,
Lease liabilities,"167,154","186,098","11,998","29,084","31,160","68,171","45,685",
Bank overdrafts,,1,,,-,,,
,"179,186","198,130","24,030","29,084","31,160","68,171 45,685","68,171 45,685",
Derivative financial assets,,,,,,,,
Forward exchange contracts used forhedging:,,,,,,,,
- Outflow,,"29,748","6,987","22,761",,,,
- Inflow,,"(29,955)","(7,005)","(22,950)",,,,
Total,(207),（207) (18) （189),（207) (18) （189),（207) (18) （189),,,,
