($000s),2020,2019
Result of parent entity,,
Profit for the year,"7,341","33,220"
Other comprehensive income,,
Totalcomprehensive income forthe year,"7,341","33,220"
Financial position of parent entity atyear end,,
Current assets,"18,768","30,356"
Total assets,"229,674","219,203"
Current liablies,,
Total liablities,,
Net assets,"229,674","219,203"
Total equity of parent entity comprising of:,,
Share capital,"215,351","209,791"
Share based payments reserve,905,"1,861"
Accumulated profits,"13,418","7,551"
Total equity,"229,674","219,203"
