2021:,Cost Basis,"Unrealized Gains, Net",Recorded Basis
2021 Available-for-sale:,Government and agency securities,$375,$6
2021 Held-to-maturity:,Certificates of deposit,$536,-
2021 Total short-term investments,,$911,$6
Certificates of deposit,536,,
Total short-term investments,911,6,6
2020:,Cost Basis,"Unrealized Gains, Net",Recorded Basis
Available-for-sale:,Government and agency securities,$436,$12
Held-to-maturity:,,,-
Certificates of deposit,580,,
Total short-term investments,"$ 1,016",12,$12
