"Property and equipment, net",,,,
United States Operations,Canadian Operations,Other International Operations,Total,
2021,,,,
Total revenue,"$141,398$","$27,298$","$27,233$","$195,929$"
Operating income,"4,262","1,176","1,270","6,708"
Depreciation and amortization,"1,339",177,265,"1,781"
Additions to property and equipment,"2,612",272,704,"3,588"
"Property and equipment, net","15,993","2,317","5,182","23,492"
Total assets,"39,589","5,962","13,717","59,268"
2020,,,,
Total revenue,"$122,142$","$22,434$","$22,185$","$166,761$"
Operating income,"3,633",860,942,"5,435"
Depreciation and amortization,"1,248",155,242,"1,645"
Additions to property and equipment,"2,060",258,492,"2,810"
"Property and equipment, net","14,916","2,172","4,719","21,807"
Total assets,"38,366","5,270","11,920","55,556"
2019,,,,
Total revenue,"$111,751$","$21,366$","$19,586$",
Operating income,"3,063",924,750,"4,737"
Depreciation and amortization,"1,126",143,223,"1,492"
Additions to property and equipment,"2,186",303,509,"2,998"
"Property and equipment, net","14,367","2,044","4,479","20,890"
Total assets,"32,162","4,369","8,869","45,400"
