2023,Consular and Border Security Programs,Other Funds from Dedicated Collections,Total Funds from Dedicated Collections (Consolidated),2022,Consular and Border Security Programs,Other Funds from Dedicated Collections,Total Funds from Dedicated Collections (Consolidated)
"Balance Sheets as of September 30,",ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS
Intragovernmental:,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury,Fund Balance with Treasury
,"$ 4,473",$ 116,"$ 4,589","$ 2,995",,$ 116,$ 43
,"Investments, Net","Investments, Net","Investments, Net","Investments, Net","Investments, Net","Investments, Net","Investments, Net"
,48,48,48,43,43,43,43
,Advances and Prepayments,Advances and Prepayments,Advances and Prepayments,,83,83,83
,119,119,119,119,119,119,119
Total Intragovernmental Assets,"$ 4,592",164,"$ 4,756","$ 3,078",159,159,"$ 3,237"
Other than Intragovernmental:,"Accounts Receivable, Net","Accounts Receivable, Net","Accounts Receivable, Net",,1,1,1
,2,2,2,1,1,1,1
,"General Property and Equipment, Net","General Property and Equipment, Net","General Property and Equipment, Net",,63,63,63
,$ 200,$ 120,$ 320,$ 108,$ 108,$ 171,$ 171
,Advances and Prepayments,Advances and Prepayments,Advances and Prepayments,,12,12,11
,13,(1),12,(1),(1),11,(1)
Total Other than Intragovernmental,$ 215,119,$ 334,$ 76,107,107,$ 183
Total Assets,"$ 4,807",$ 283,"$ 5,090","$ 3,154",$ 266,"$ 3,420","$ 3,420"
LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES,LIABILITIES
Intragovernmental:,Accounts Payable,Accounts Payable,Accounts Payable,$ 27,$ 10,$ 10,$ 10
,$ 27,$ 27,$ 27,$ 10,$ 10,$ 10,$ 10
,"Advances from Others and,Deferred Revenue","Advances from Others and,Deferred Revenue","Advances from Others and,Deferred Revenue",,6,15,15
,Other Liabilities,Other Liabilities,Other Liabilities,,27,26,26
,$ 27,$ 27,$ 27,$ 26,$ 26,$ 26,$ 26
Total Intragovernmental Liabilities,$ 60,,$ 60,$ 51,,$ 51,$ 51
Other than Intragovernmental:,Accounts Payable,Accounts Payable,Accounts Payable,,129,95,95
,2,2,2,1,1,1,2
,"Federal Employee and Veteran,Benefits Payable","Federal Employee and Veteran,Benefits Payable","Federal Employee and Veteran,Benefits Payable",,65,64,65
,Other Liabilities,Other Liabilities,Other Liabilities,,35,30,35
,$ 35,$ 35,$ 35,$ 30,$ 30,$ 30,$ 35
Total Other than Intragovernmental,$ 229,2,$ 231,$ 189,1,1,$ 190
Total Liabilities,$ 289,$ 2,$ 291,$ 240,$ 266,$ 1,$ 241
NET POSITION,NET POSITION,NET POSITION,NET POSITION,NET POSITION,NET POSITION,NET POSITION,NET POSITION
Unexpended Appropriations,,,,1,,,1
Cumulative Results of Operations,"$ 4,518",281,"$ 4,799","$ 2,913",265,"$ 3,178","$ 3,178"
Total Liabilities and Net Position,"$ 4,807",$ 283,"$ 5,090","$ 3,154",$ 266,"$ 3,420","$ 3,420"
"Statements of Net Cost for the Year Ended September 30,",Gross Program Costs,Less: Earned Revenues,Net Program Costs,Net Cost of Operations,,,
,"$ 4,167","$ 5,530","(1,363)","$ (1,363)",63,$ 63,$ 63
,,1,100,,100,,
,,,,,,,
"Statements of Changes in Net Position for the Year Ended September 30,",Unexpended Appropriations,,,,,,
Beginning Balances,$ 1,$ 1,$ 1,$ 1,$ 2,$ 2,$ 2
Appropriations Used,(1),,(1),(1),(1),,(1)
Total Unexpended Appropriations,,,,1,,,1
