"HERITAGE ASSETS (continued) For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS (continued) For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS (continued) For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS (continued) For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS (continued) For the Years Ended September 30, 2022 and 2023"
,Secretary of State's Registerof Culturally SignificantProperty,NationalMuseum of AmericanDiplomacy,Blair House,International Boundary and Water Commission
Description,"Noncollection -Buildings ofhistoric,cultural, orarchitectural significance","Collectibles -Historicartifacts, art and other cultural objects","Collections of fine anddecorative arts,furnishings,artifacts,other cultural objects, rare books andarchival materials in nationalhistoric landmark buildings","Monuments that mark the international boundarybetween the United States and Mexico, Falcon International Dam andPower Plant"
Acquisition andWithdrawal,Acquiredthroughpurchase.Excess items are sold.,Acquiredthroughdonationor transfer.Excess itemsare transferred.,"Acquired through purchase,donation or transfer. Excess items are transferred ordisposed of via public sale.",The monuments were constructed to mark theinternational boundary.The dam and power plant wereconstructed by the United States and Mexico pursuant to Water Treaty of 1944.
Condition,Poor toexcellent,Good toexcellent,Good toexcellent,Very Poor togood
Number of Assets -9/30/2021,38,"7,012","2,599",140
Acquisitions,5,276,1,1
Adjustments,1,52,2,1
Disposals,1,1,8,1
Number of Assets -9/30/2022,43,"7,339","2,594",140
Acquisitions,1,235,1,1
Adjustments,1,61,1,1
Disposals,1,1,1,1
Number of Assets -9/30/2023,43,"7,635","2,594",140
