(dollars in millions),(dollars in millions),(dollars in millions),(dollars in millions)
"For the Year Ended September 30,",2020,2020,2019
SG1: Protect America's Security at Home and Abroad,"$ 7,554",,
Total Cost,"$ 7,554",$,"7,294"
Earned Revenue Net Program Costs,"$ 7,554","(1,864) 5,690","(2,974) 4,320"
SG2: Renew America's Competitive Advantage for,,,
Sustained Economic Growth and Job Creation Total Cost,,,
Earned Revenue,,"2,113","2,049 (106)"
Net Program Costs,"2,021",(92),"1,943"
SG3:Promote American Leadership through Balanced Engagement,"2,021",,
Total Cost,"2,021","14,709","14,072"
Earned Revenue,(68),,(84)
Net Program Costs,(68),"14,641","13,988"
,(68),,
SG4: Ensure Effectiveness and Accountability to the American Taxpayer Total Cost,"13,961",,"14,312"
Earned Revenue,"13,961",,
Net Program Costs Before Assumption Changes,"13,961","(4,729)","(5,584)"
Actuarial Loss on Pension,,"9,232","8,728"
Assumption Changes (Notes 1 and 9),,,719
Net Program Costs,,"1,056",
,,"10,288","9,447"
Cost Not Assigned to Programs,,,
Total Cost,,(1),12
Earned Revenue,(2),,(1)
Net Costs,(2),,
,(2),(3),11
Total Cost and Loss on Assumption Changes,"39,392",,"38,458"
Total Revenue,"(6,755)",,"(8,749)"
Total Net Cost,"$ 32,637",$,"29,709"
