"For the Years Ended September 30,(dollars in millions)",,,Intragovernmental,With the Public,Total
"Net Cost,$,",-670,,"39,040","38,370","32,637"
Components of Net Cost that are not Part of Net Outlays:,,,-,-,
"Property and Equipment Depreciation,—,",,,"(1,305)","(1,305)","(1,346)"
"Property and Equipment Gain(Loss) on Disposal & Revaluation,—,",,452,452,(280),
"Applied Overhead/Cost Capitalization Offset,—,",,,"2,431","2,431","1,728"
"Increase/(Decrease) in Assets:,,,,,",,,-,-,
"Accounts Receivable, Net,,(68),",(7),(75),21,,
"Direct Loans and Loan Guarantees Receivable, Net,,1,(3),",(3),5,,,
"Securities and Investments,,（7),一,",(7),丨,,,
"Other Assets,,(145),(282),",(427),881,,,
"(Increase)/Decrease in Liabilities:,,,,,",,,-,-,
"Accounts Payable,,(27),(642),",(669),969,,,
"Loans Guarantee Liability/Loans Payable,,1,一,",1,,,,
"Federal Employee and Veteran Benefits Payable,,1,(2,533),","(2,533)",260,,,
"Other Liabilities,,55,716,771,","(1,581)",,,,
"Financing Sources:,,,,,",,,-,-,
"Imputed Cost Total Components of Net Cost that are not Part of Net Outlays,,(370),",(370),,,,
"Components of Budget Outlays that are not Part of Net Operating Cost:,Acquisition of Capital Assets,,,2,386,","1,986",,,,
"Financing Sources:,,,,,",,,-,-,
"Donated Revenue,,,(14),",(14),,,,
"Transfers Out(In) Without Reimbursements,,53,一,",53,14,,,
"Total Components of the Budget Outlays that are not Part of Net Operating Cost,53,(14),39,","4,386",,,,
"Miscellaneous Items,Distributed Offsetting Receipts (SBR 4200),,,(2,672),",,"(2,672)",,,
"Appropriated Receipts for Trust/Special Funds,,,3,564,","3,564",,,,
"Total Other Reconciling Items,,,,892,",892,,,,
"Total Net Outlays,$,(1,178),","$ 38,745","$37,567","$37,680",,
