Summary Consolidated Balance Sheet Data,2021,2020,Change,% Change
Fund Balance with Treasury,$ 60.8,$ 59.6,$ 1.2,2%
Investments,20.6,20.1,0.5,2%
"General Property and Equipment, Net",27.3,26.3,1.0,4%
"Cash, Advances, Receivables, and Other Assets",3.2,3.7,(0.5),(14)%
Total Assets,$ 111.9,$ 109.7,$ 2.2,2%
Accounts Payable,$ 2.7,$ 2.6,$ 0.1,4%
Federal Employee and Veteran Benefit Liability,29.2,26.7,2.5,9%
International Organizations Liability,2.4,2.5,(0.1),(4)%
Other Liabilities,1.5,1.2,0.3,25%
Total Liabilities,$ 35.8,$ 33.0,$ 2.8,8%
Unexpended Appropriations,46.0,46.9,(0.9),(2)%
Cumulative Results of Operations,30.1,29.8,0.3,1%
Total Net Position,$ 76.1,$ 76.7,$(0.6),(1)%
Total Liabilities and Net Position,$ 111.9,$ 109.7,$ 2.2,2%
Summary Consolidated Statement of Net Cost Data,,,,
Total Cost and Loss on Assumption Changes,$ 45.8,$ 39.4,"$ 6.4,16%",
Less Total Revenue,$ 7.4,6.8,0.6,9%
Total Net Cost,$ 38.4,$ 32.6,$ 5.8,18%
Summary Combined Statement of Budgetary Resources Data,,,,
"Unobligated Balance from Prior Year Budget Authority, Net",$ 29.9,$ 32.7,$(2.8),(9)%
Appropriations,41.5,36.4,5.1,14%
Spending Authority from Offsetting Collections,8.7,8.0,0.7,9%
Total Budgetary Resources,$ 80.1,$ 77.1,$ 3.0,4%
