Other Liabilities,2021,2020
Intragovernmental,,
Custodial and Other Non-Entity Assets Liability,$ 24,$ 21
Debt,4,5
Unfunded FECA Liability,19,19
Other Liabilities,26,23
Total Intragovernmental,73,68
With the Public:,,
Capital Lease Liability,46,49
Accrued Funded Payroll and Leave,217,186
Withholdings Payable,19,18
Contingent Liability,72,62
Other Liabilities Without Related Budgetary Obligations,324,257
Other Liabilities With Related Budgetary Obligations,,
,213,222
Total With the Public Total Other Liabilities,891 $964,794
