$ in thousands for all items,FY 2018 653(a),FY 2019 Request
TOTAL,"$ 386,954.00","$ 293,311.00"
Africa,"$ 1,000.00","$ 1,300.00"
Liberia,"$ 1,000.00","$ 1,300.00"
East Asia and Pacific,"$ 4,200.00","$ 2,800.00"
Burma,"$ 1,100.00","$ 1,100.00"
China,"$ 1,200.00",$
Indonesia,$ 400.00,$ 300.00
Philippines,"$ 1,500.00","$ 1,400.00"
South and Central Asia,"$ 69,997.00","$ 52,270.00"
Afghanistan,"$ 64,000.00","$ 43,740.00"
Kazakhstan,$ 391.00,$
Pakistan,"$ 2,000.00","$ 6,500.00"
Tajikistan,$ 700.00,$
Uzbekistan,$ 300.00,$
Central Asia Regional,"$ 2,606.00",$ 2.030.00
Western Hemisphere,"$ 232,718.00","$ 181,075.00"
Colombia,"$ 103,500.00","$ 93,000.00"
Mexico,"$ 54,183.00","$ 36,000.00"
Peru,"$ 29,900.00","$ 24,900.00"
State Western Hemisphere Regional (WHA),"$ 45,135.00","$ 27,175.00"
"of which,CARSI","$ 35,950.00","$ 20,750.00"
"of which,CBSI",$ 9.185.00,"$ 6,425.00"
INL - International Narcotics and Law EnforcementAffairs,"$ 79,039.00","$ 55,866.00"
"INL- CFSP, Critical Flight Safety Program","$ 5,402.00","$ 3,500.00"
INL- Demand Reduction,"$ 12,500.00","$ 10,000.00"
INL- Drug Supply Reduction,"$ 11,825.00",$
INL- Inter-regional Aviation Support,"$ 34,577.00","$ 22,000.00"
INL - International Organizations,"$ 2,175.00","$ 4,075.00"
INL - Program Development and Support,"$ 12,560.00","$ 16,291.00"
