,,FY2019 to FY2020,FY2019 to FY2020,FY2019 to FY2020,FY2020 to FY2021,FY2020 to FY2021,FY2020 to FY2021
,,Base salary/ fees %change,Benefits % change,CDP/STI %change,Base salary/ fees %change,Benefits %change(4),CDP/STI %change
CEOs(1),Mike Henry,0,0,0,0,67,20
CEOs(1),Andrew Mackenzie,0,10,100,-,-,一
Non-executive Directors,Terry Bowen,2,33,1,17,(90),
Non-executive Directors,Malcolm Broomhead,（5),（53),,(3),(84),
Non-executive Directors,Xiaoqun Clever(2),0,0,,。,。,
Non-executive Directors,lan Cockeril2,0,0,,0,(100),
Non-executive Directors,Anita Frew,0,（2),,。,(96),
Non-executive Directors,Gary Goldberg(2),0,0,,14,(87),
Non-executive Directors,Carolyn Hewson(3),0,0,,-,-,
Non-executive Directors,Susan Kilsby(2),0,0,,7,(99),
Non-executive Directors,Ken MacKenzie,0,25,,0,(90),
Non-executive Directors,Lindsay Maxsted(3) John Mogford,（2）,(44),,0,0,
Christine O'Reilly(2),,6,13,,8,(97),
,,0,0,,0,。,
,Shriti Vadera(3),0,0,,0,。,
,Dion Weisler(2),0,0,1,0,0,
Australian employees,Australian employees,2,（7),43,3,(36),3
