Period,A,B,C,D
1 Jul 2020 to 31 Jul 2020,-,-,-,-
1 Aug 2020 to 31 Aug 2020,6158718,28.32,-,211207180
1 Sep 2020 to 30 Sep 2020,-,-,-,211207180
1 Oct 2020 to 31 Oct 2020,-,-,-,211207180
1 Nov 2020 to 30 Nov 2020,-,-,-,211207180
1 Dec 2020 to 31 Dec 2020,-,-,-,211207180
1 Jan 2021 to 31 Jan 2021,-,-,-,211207180
1 Feb 2021 to 28 Feb 2021,-,-,-,211207180
1 Mar 2021 to 31 Mar 2021,882454,36.57,-,211207180
1 Apr 2021 to 30 Apr 2021,-,-,-,211207180
1 May 2021 to 31 May 2021,-,-,-,211207180
1 Jun 2021 to 30 Jun 2021,731235,38.00,-,211207180
Total,7772407,30.16,-,211207180
