Yearended 30 June 2020,,,,,Group and,
US$M,,,,,unallocateditems/,
Restated,Petroleum,Copper,Iron Ore,Coal,eliminations,Group total
Revenue,4.008,"10,666",20.797,"6,241",1.219,42.931
Inter-segment revenue,62,1,1,1,(63),1
Total revenue,"4,070","10,666","20,797","6,242","1,156",42.931
Underlying EBITDA,"2,207",,"14,554","1,632",(669),22.071
Depreciation and amortisation,,4.347 (1.740),(1.608),(807),(512),(6.112)
Impairment losses()),(1.445) (12),（17),(22),(14),(20）,(85)
Underlying EBIT,,2.590,12.924,811,(1.201),15.874
Exceptionalitems(2),750,,,,413,(1.453)
Net finance costs,(6,(1.228),(614),(18),,(911)
Profit before taxation,,,,,,13.510
Capital expenditure (cash basis),909,"2,434","2,328",603,626,"6,900"
"(Loss)/profit from equity accounted investments,",,,,,,
related impairmentsand expenses,（4),67,(508),(68),1,(512)
Investments accounted for using the equity method,245,"1,558",,776,6,2.585
Total assets(3),13.071,"28,892",23.841,12.110,27.819,"105,733"
Total liabilities(3),4.824,3.535,"5,441","2,601","37,157","53,558"
