Financialimpacts of Samarco dam failure,2021 US$M,2020,201
Income statement,,,
Other incomel1),34,489,50
Expenses excluding netfinance costs:,,,
Costs incurred directly by BHP Brasil and other BHP entities in relation to the Samarco dam failure(2),(46),(64),(57)
"Loss from equity accounted investments, related impairments and expenses:",,,
Samarcoimpairment expense(3),(11),（95),(96)
Samarco Germano dam decommissioning(4),(15),46,(263)
Samarco dam failure provision(5),"(1,000)",（459）,(586)
Fair value change on forward exchange derivatives(6),136,-,三
Loss from operations,"(1,002)",(83),(952)
Net finance costs7),(85),（93）,（108
Loss before taxation,"(1.,087)",(176),(1.060)
Income tax expense(8),(71),-,1
Loss after taxation,"(1,158)",,
,,(176),(1.060)
Balance sheet movement,,,
Trade and other payables,(5),,
Derivatives,136,(5),4
Tax liabilties,(71),-,1
Provisions,(741),1 (137),1
Net liabilities,(681),(142),(629) (625)
