Land and buildings,Plant and equipment,Other mineral assets,Assets under construction,Exploration and evaluation,Total
At the beginning of the financial year,8387,39429,8652,13774,"2120,72362"
Additions(1),25,3841,797,5961,"93,10717"
Acquisition of subsidiaries & operations(2),,151,491,,"-,642"
Remeasurements of index-linked freight contracts(3),,(59),,,"-,59"
Depreciation for the year,(694),(5748),(310),,"-,6752"
Impairments for the year(4),208,877,687,745,"66,2583"
Disposals,18,9,,,"-,27"
Divestment and demerger of subsidiaries and operations(5),,14,,2,"-,16"
Transfers and other movements,580,7968,(2),(8556),"(461),471"
At the end of the financial year(6),8072,44682,8941,10432,"1686,73813"
-Cost,14545,108049,15059,11177,"2531,151361"
-Accumulated depreciation and impairments,(6473),(63367),(6118),745,"(845),77548"
