,2021,Goodwill,Other intangibles,Total,2020,Goodwill,Other intangibles,Total
Net book value,,US$M,US$M,US$M,,US$M,US$M,US$M
At the beginning of the financial year,"1,197",377,"1,574",,247,428,675,
Impact of change in accounting policies,-,-,-,,950,-,950,
At the beginning of the financial year (restated),"1,197",377,"1,574",,"1,197",428,"1,625",
Additions,-,23,23,,-,98,98,
Amortisation for the year,-,(93),(93),,-,(118),(118),
Impairments for the year,-,(52),(52),,-,-,,
Transfers and other movements,-,(15),(15),,-,(31),(31),
At the end of the financial year,"1,197",240,"1,437",,"1,197",377,"1,574",
- Cost,"1,197","1,506","2,703",,"1,197","1,580","2,777",
- Accumulated amortisation and impairments,-,"(1,266)","(1,266)",,-,"(1,203)","(1,203)",
