Year ended 30 June,2021 US$M,2020 US$M,201
Continuing operations,,,
Revenue,,1,1
Other income,34,489,50
"Expenses excluding net finance costs,depreciation,amortisation and impairments",(592),(1.025),（57)
Depreciation and amortisation,-,1,二
Net impairments,"(2,371)",（409),1
"Lossfrom equity accounted investments, related impairments and expenses","(1,456)",(508),(945)
Profit/(loss)from operations,"(4,385)","(1,453)",(952)
Financial expenses,(85),（93）,(108)
Financialincome,-,1,1
Net finance costs,(85),(93),（108
Profit/(loss) before taxation,"(4,470)",(1.546),(1.060)
Income tax (expense)/benefit,"(1,327)",241,242
Royalty-related taxation (net of income tax benefit),-,-,1
Total taxation (expense)/benefit,"(1,327)",241,242
Profit/(loss)after taxation from Continuing operations,"(5,797)",(1.305),(818)
Discontinued operations,,,
Profit/(loss)aftertaxationfromDiscontinuedoperations,,二,1
Profit/(loss)after taxation from Continuing and Discontinued operations,"(5,797)","(1,305)",(818)
Total exceptional itemsattributable to non-controlling interests,(24),(201),
Total exceptionalitems attibutable to BHP shareholders,"(5,773)",(1.104),-
,,,(818)
Exceptional items atributable to BHP shareholders per share (US cents),(114.2),(21.9),(15.8)
Weighted basic average number of shares (Milion),"5,057","5,057","5,180"
