Year ended 30 June,2021,202Restated
Net assets(1),"55,605","52,175"
Less: Non-operating assets,,
Cash and cash equivalents,"(15,246)",(13.426)
Trade and other receivables(2),(280),(194)
Other financial assets(3),"(1,516)",(2.425)
Current tax assets,(279),(366)
Deferred tax assets,"(1,912)",(3.688)
Assets held for sale,(324),
Add: Non-operating liabilities,,
Trade and other payables(4),227,310
Interest bearing liabilities,"20,983",27.048
Other financiliabilities(b),588,1.618
Current tax payable,"2,800",913
Non-current tax payable,120,109
"Deferred tax liabilties("")","3,314",3.779
Liabilities directly associated with the assets held forsale,17,二
Net operating assets,"64,097","65,853"
Net operating assets,,
Petroleum,"7,964",8.247
Coppert,"26,928","25,357"
Iron Ore,"18,663",18.400
Coal,7.512,9.509
Groupand unallocated items6,"3,030",4.340
Total,"64,097","65,853"
