Year ended 30 June,BHP interest %,2021,2020,2019
Iron ore,Western Australia Iron Ore,"Production ('000 tonnes)"",63","221""","65,641,66,622"
Iron ore,Western Australia Iron Ore,"Newman, Australia",85,"63,221,65,641,66,622"
Iron ore,Western Australia Iron Ore,"Area C Joint Venture, Australia",85,"52,386,51,499,47,440"
Iron ore,Western Australia Iron Ore,"Yandi Joint Venture, Australia",85,"68,596,69,262,65,197"
Iron ore,Western Australia Iron Ore,"Jimblebar, Australia",85,"67,393,61,754,58,546"
Iron ore,Western Australia Iron Ore,"Wheelarra, Australia",85,"0,3,159"
Iron ore,Western Australia Iron Ore,Total Western Australia Iron Ore,"251,596","248,159,237,964"
Iron ore,Western Australia Iron Ore,"Samarco, Brazil",50,"1,938,-,-"
Iron ore,Western Australia Iron Ore,Total iron ore,"253,534","248,159,237,964"
Coal,Metallurgical coal,"Production ('000 tonnes)"",6","224""","5,545,6,603"
Coal,Metallurgical coal,"Blackwater, Australia",50,"6,224,5,545,6,603"
Coal,Metallurgical coal,"Goonyella Riverside, Australia",50,"9,448,8,765,8,563"
Coal,Metallurgical coal,"Peak Downs, Australia",50,"5,892,5,783,5,933"
Coal,Metallurgical coal,"Saraji, Australia",50,"4,489,4,963,4,892"
Coal,Metallurgical coal,"Daunia, Australia",50,"1,928,2,170,2,178"
Coal,Metallurgical coal,"Caval Ridge, Australia",50,"3,903,4,349,3,967"
Coal,Metallurgical coal,Total BHP Mitsubishi Alliance,"31,884","31,575,32,136"
Coal,Metallurgical coal,"South Walker Creek, Australia",80,"4,887,5,415,6,194"
Coal,Metallurgical coal,"Poitrel, Australia",80,"3,854,4,128,4,071"
Coal,Metallurgical coal,Total BHP Mitsui Coal,"8,741","9,543,10,265"
Coal,Metallurgical coal,Total Queensland Coal,"40,625","41,118,42,401"
Coal,Energy coal,"Production ('000 tonnes)"",14","326""","16,052,18,257"
Coal,Energy coal,"New South Wales Energy Coal, Australia",100,"14,326,16,052,18,257"
Coal,Energy coal,"Cerrejón, Colombia",33.3,"4,964,7,115,9,230"
Coal,Energy coal,Total energy coal,"19,290","23,167,27,487"
