Millions of barrels,Australia,United States,Other(b),Total
Proved developed and undeveloped oil and condensate reserves(a),,,,454.2()
Reserves at 30 June 2018,70.5,361.8(e),21.9,
Improved recovery,1,1,-,1
Revisions of previous estimates,7.8,25.9,1.0,34.7
Extensions and discoveries,0.0,0.8,-,0.9
Purchase/sales of reserves,-,（79.7),1,（79.7)
Production,(14.4),(34.5),(4.9),(53.7)
Total changes,(6.5),(87.5),(3.9),(97.9)
Reserves at 30 June 2019,63.9,274.4,18.0,356.3
Improved recovery,-,-,-,1
Revisions of previous estimates Extensions and discoveries,0.9,21.3,（0.7),21.5
,1.8,-,5.0,6.7
Purchase/sales of reserves,-,1,-,三
Production,(14.0）,(23.3),(3.8),(41.2)
Total changes,(11.3),(2.0),0.4,(13.0)
Reserves at 30 June 2020 Improved recovery,52.6,272.3,18.4,343.4
Revisions of previous estimates,-,-,-,三
Extensions and discoveries,2.7,(8.0),（0.0）,(5.3)
Purchase/sales of reserves,1,11,1,11
Production,-,23.9,1,23.9
Total changes,(11.9,(23.2),(3.6),(38.7)
Reserves at 30 June 2021,(9.2),(6.2),(3.7),(19.1)
Developed,43.5,266.1,14.7,324.3
Proveddeveloped oiland condensate reserves,,,,
as of 30 June 2018,,181.2,,
as of 30 June 2019,60.5 59.0,128.9,19.2 16.3,260.8
as of 30 June 2020,46.7,131.0,11.9,204.2
Developed reserves as of 30 June 2021,38.2,138.9,10.6,189.6 187.6
Undeveloped,,,,
Proved undeveloped oil andcondensate reserves,,,,
as of 30 June 2018,10.0,180.7,2.8,193.4
as of 30 June 2019,5.0,145.4,1.7,152.1
as of 30 June 2020,6.0,141.3,6.5,153.8
Undeveloped reserves as of 30 June 2021,5.3,127.2,4.2,136.7
