As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,,,,,Indicated Resources,Indicated Resources,Indicated Resources,Indicated Resources,Indicated Resources
Cemmodty,Mining,Coal,,Measured Resources,,,,,,,,
,method,type,Mt,%Ash,%VM,%SKCal/kgCV,,Mt,%Ash,%VM,%SKCal/kg CV,
Energy coal operations,,,,,,,,,,,,
Australia,,,,,,,,,,,,
Mt Arthur Coal,OC,Th,792,21.5,31.2,0.65,"6,170",1333,19.4,29.9,0.61,"6,150"
Colombia,,,,,,,,,,,,
Cerrejon(3(4),OC,Th,"3,016",3.9,34.9,0.52,"6,550","1,167",3.9,34.8,0.51,"6,570"
Energy coal project,,,,,,,,,,,,
Australia,,,,,,,,,,,,
Togara South(5),UG,Th,,,,,,"1,420",13.7,29.0,0.31,"6,550"
