BHP Group Limited,Number of fully paid shares,% of issued capital
HSBC Custody Nominees (Australia) Limited,"645,004,218",21.86
J P Morgan Nominees Australia Pty Limited,"469,192,067",15.90
Citicorp Nominees Pty Limited <Citibank NY ADR DEP A/C>,"227,232,926",7.70
Citicorp Nominees Pty Ltd,"133,872,944",4.54
National Nominees Limited,"95,294,905",3.23
BNP Paribas Nominees Pty Ltd <Agency Lending DRP A/C>,"53,391,864",1.81
BNP Paribas Noms Pty Ltd <DRP>,"49,862,404",1.69
Citicorp Nominees Pty Limited <Colonial First State INV A/C>,"29,303,581",0.99
BNP Paribas Nominees PTY Ltd Six Sis Ltd <DRP A/C>,"26,792,321",0.91
HSBC Custody Nominees (Australia) Limited <Nt-Comnwth Super Corp A/C>,"21,100,336",0.72
Computershare Nominees CI Ltd <ASX Shareplus Control A/C>,"16,974,417",0.58
Australian Foundation Investment Company Limited,"13,413,159",0.45
HSBC Custody Nominees (Australia) Limited <Euroclear Bank SA NV A/C>,"12,599,528",0.43
Netwealth Investments Limited <Wrap Services A/C>,"9,723,904",0.33
BNP Paribas Nominees Pty Ltd ACF Clearstream,"8,859,295",0.30
Argo Investments Limited,"7,618,304",0.26
CS Third Nominees Pty Limited <HSBC Cust Nom AU Ltd 13 A/C>,"6,991,188",0.24
BNP Paribas Nominees Pty Ltd Hub24 Custodial Serv Ltd <DRP A/C>,"6,466,956",0.22
Solium Nominees (Australia) Pty Ltd <VSA A/C>,"6,344,025",0.22
Milton Corporation Limited,"4,854,921",0.16
,"1,844,893,263",62.53
