Size of holding,BHP Group Limited Number of shareholders,BHP Group Limited %,BHP Group Limited Number of shares,BHP Group Limited %,BHP Group Plc Number of shareholders,BHP Group Plc %,BHP Group Plc Number of shares,BHP Group Plc %
1 - 500(2),254525,46.85,53184352,1.80,7169,53.32,1423059,0.07
"501 - 1,000",100846,18.56,77206333,2.62,2229,16.58,1641003,0.09
"1,001 - 5,000",148183,27.28,331352333,11.23,2300,17.11,4722591,0.24
"5,001 - 10,000",23571,4.34,166292785,5.64,355,2.64,2528873,0.12
"10,001 - 25,000",12189,2.24,182978713,6.20,328,2.44,5415961,0.25
"25,001 - 50,000",2620,0.48,89156739,3.02,196,1.46,7137840,0.34
"50,001 - 100,000",880,0.16,60146735,2.04,187,1.39,13643993,0.71
"100,001 - 250,000",322,0.06,45485094,1.54,242,1.80,39735115,1.78
"250,001 - 500,000",72,0.01,24988342,0.85,121,0.90,43918465,2.39
"500,001 - 1,000,000",28,0.01,19404350,0.66,110,0.82,78002808,3.32
"1,000,001 and over",45,0.01,190055618,64.40,207,1.54,1913902088,90.62
Total,543281,100.00,2950251394,100.00,13444,100.00,2112071796,100.00
