2.2,Remuneration Report,98,
2.2.1,Annual statement by the Remuneration,,
2.2.2,Committee Chair,99,
2.2.2,Remuneration policy report,103,
,Remuneration policy for the Executive Director,103,
,Remuneration policy for Non-executive Directors,107,
2.2.3,Annual report on remuneration,108,
2.2.3,Remuneration for the Executive Directors (the CEOs),108,
2.2.3,Remuneration for other Executive KMP,,
2.2.3,(excluding the CEOs),115,
2.2.3,Remuneration for Non-executive Directors,117,
2.2.3,Remuneration governance,118,
2.2.3,,Other statutory disclosures,119
2.2.3,2.3 2.3.1,"Directors' Report Review of operations,principal activities and",124
2.2.3,,state of affairs,124
2.2.3,2.3.2,Share capital and buy-back programs,124
2.2.3,2.3.3,"Results, financial instruments and going concern Directors",125
2.3.4,,125,
2.3.5,Remuneration and share interests,125,
2.3.6,Secretaries,126,
2.3.7,Indemnities and insurance,126,
2.3.8,Employee policies,126,
2.3.9,Corporate governance,127,
2.3.10,Dividends,127,
2.3.11,Auditors,127,
2.3.12,Non-audit services,127,
2.3.13,Political donations,127,
2.3.14,"Exploration, research and development",127,
2.3.15,ASIC Instrument 2016/191,127,
2.3.16,Proceedings on behalf of BHP Group Limited,127,
2.3.17,Performance in relation to environmental regulation,128,
2.3.18,"Share capital, restrictions on transfer of shares",,
,and other additional information,128,
