Signature,Title,Date
/S/ ROBERT A. BRADWAY,"Chairman of the Board, Chief Executive Officer and President, and Director (Principal Executive Officer)",2/8/2021
/S/ PETER H. GRIFFITH,Executive Vice President and Chief Financial Officer (Principal Financial Officer),2/8/2021
/S/ LINDA H. LOUIE,"Vice President, Finance and Chief Accounting Officer (Principal Accounting Officer)",2/8/2021
/S/ WANDA M. AUSTIN,Director,2/8/2021
/S/ BRIAN J. DRUKER,Director,2/8/2021
/S/ ROBERT A. ECKERT,Director,2/8/2021
/S/ GREG C. GARLAND,Director,2/8/2021
/S/ FRED HASSAN,Director,2/8/2021
"/S/ CHARLES M. HOLLEY, JR.",Director,2/8/2021
/S/ TYLER JACKS,Director,2/8/2021
/S/ ELLEN J. KULLMAN,Director,2/8/2021
/S/ AMY E. MILES,Director,2/8/2021
/S/ RONALD D. SUGAR,Director,2/8/2021
/S/ R. SANDERS WILLIAMS,Director,2/8/2021
