"Types of securities as of December 31, 2019",Amortized cost,Gross unrealized gains,Gross unrealized losses,Fair values
U.S. Treasury notes,$ 359,$ 1,,$ 360
U.S. Treasury bills,,,,
Corporate debt securities:,,,,
Financial,"1,108",13,,"1,121"
Industrial,824,10,,834
Other,195,3,,198
Residential-mortgage-backed securities,181,1,,182
Money market mutual funds,"5,250",,,"5,250"
Other short-term interest-bearing securities,289,,,289
Total available-for-sale investments,"$ 8,206",$ 28,,"$ 8,234"
