Derivative assets,Consolidated,Balance Sheets locations,Fair values,Derivative liabilities,Consolidated,Balance Sheets locations,Fair values
Derivatives designated as hedging instruments:,Foreign currency contracts,Other current assets/,Other assets,$,28,Accrued liabilities/,"Other noncurrent liabilities,$,237"
Derivatives designated as hedging instruments:,Cross-currency swap contracts,Other current assets/,Other assets,255,Accrued liabilities/,Other noncurrent liabilities,318
Derivatives designated as hedging instruments:,Interest rate swap contracts,Other current assets/,Other assets,66,Accrued liabilities/,Other noncurrent liabilities,15
Derivatives designated as hedging instruments:,Total derivatives designated as hedging instruments,,,349,,,570
Derivatives not designated as hedging instruments:,Foreign currency contracts,Other current assets,,—,Accrued liabilities,,—
Derivatives not designated as hedging instruments:,Total derivatives not designated as hedging instruments,,,—,,,—
Derivatives not designated as hedging instruments:,Total derivatives,,,349,,,570
Derivative assets,Consolidated,Balance Sheets locations,Fair values,Derivative liabilities,Consolidated,Balance Sheets locations,Fair values
Derivatives designated as hedging instruments:,Foreign currency contracts,Other current assets/,Other assets,$,223,Accrued liabilities/,"Other noncurrent liabilities,$,31"
Derivatives designated as hedging instruments:,Cross-currency swap contracts,Other current assets/,Other assets,66,Accrued liabilities/,Other noncurrent liabilities,315
Derivatives designated as hedging instruments:,Interest rate swap contracts,Other current assets/,Other assets,259,Accrued liabilities/,Other noncurrent liabilities,—
Derivatives designated as hedging instruments:,Total derivatives designated as hedging instruments,,,548,,,346
Derivatives not designated as hedging instruments:,Foreign currency contracts,Other current assets,1,Accrued liabilities,,—,
Derivatives not designated as hedging instruments:,Total derivatives not designated as hedging instruments,,1,,,,—
Derivatives not designated as hedging instruments:,Total derivatives,,549,,,,346
