Molecule,Disease/condition
Phase 3 programs,
EVENITY?,Male osteoporosis
KYPROLIS?,Weekly dosing for relapsed multiple myeloma
Nplate@,Chemotherapy-induced thrombocytopenia
Otezla@,COVID-19
Otezla@,Genital psoriasis
Otezla@,Mild-to-moderate psoriasis
Repatha@,Cardiovascular disease
RIABNITM,Rheumatoid arthritis
Sotorasib,NSCLC with KRAS G12C mutations
Tezepelumab,Severe asthma
ABP 654,"Psoriasis,psoriatic arthritis and Crohn's disease"
ABP 938,"Neovascular (wet)age-related macular degeneration, macular edema following retinal vein"
ABP 959,"occlusion, diabetic macular edema and diabetic retinopathy Paroxysmal nocturnal hemoglobinuria (PNH)"
Phase 2 programs,
Olpasiran (formerly AMG 890),Cardiovascular disease
Rozibafusp alfa (formerly AMG 570),Systemic lupus erythematosus
Sotorasib,Advanced colorectal cancer
Tezepelumab,Other solid tumors with KRAS G12C mutations
AMG 714/PRV-015,Chronic obstructive pulmonary disease
Phase 1 programs,Celiac disease
Efavaleukin alfa (formerly AMG,
592),Inflammatory diseases
AMG 119 AMG 133,Small-cell lung cancer
AMG 160,Obesity
AMG 171,Prostate cancer
AMG 176,Obesity
,Hematologic malignancies
AMG 199,Metastatic gastric and gastroesophageal junction cancer
AMG 256,Solid tumors
AMG 330,Acute myeloid leukemia
AMG 397,Hematologic malignancies
AMG 404,Solid tumors
AMG 427,Acute myeloid leukemia
AMG 506,Solid tumors
AMG 509,Prostate cancer
AMG 594(1),Cardiovascular disease
AMG 650,Solid tumors
AMG 673,Acute myeloid leukemia
AMG 701,Multiple myeloma
AMG 757,Small-cell lung cancer
AMG 910,Gastric and gastroesophageal junction cancer
