Exhibit Number,Exhibit Description,Filed Herewith,IncorporatedbyReterence,IncorporatedbyReterence,IncorporatedbyReterence
Exhibit Number,Exhibit Description,Filed Herewith,Form,Period Ended,Filing Date
3.1,Articles of Incorporation as amended of Costco Wholesale,X,,,
3.2,Corporation Bylaws as amended of Costco,,10-Q,5/8/2022,6/2/2022
4.1,"Wholesale Corporation First Supplemental Indenture between Costco Wholesale Corporation and U.S. Bank National Association,as Trustee,",,8-K,,3/25/2002
,"datedas of March20,2002 (incorporated by reference to Exhibits 4.1 and 4.2 to the Company's Current Report on the Form 8-K filed on March 25,2002)",,,,
4.2,"Form of 1.375% Senior Notes due June 20,2027",,8-K,,4/17/2020
4.3,"Form of 1.600% Senior Notes due April 20,2030",,8-K,,4/17/2020
4.4,"Form of 1.750% Senior Notes due April 20,2032",,8-K,,4/17/2020
4.5,"Form of 2.300% Senior Notes due May 18,2022",,8-K,,5/16/2017
4.6,"Form of 2.750% Senior Notes due May 18,2024",,8-K,,5/16/2017
4.7,"Form of 3.000% Senior Notes due May 18,2027",,8-K,,5/16/2017
4.8 10.1*,Description of Common Stock Costco Wholesale Executive,X,10-K,9/2/2012,10/19/2012
,Health Plan,,,,
10.2* 10.3*,2019 Incentive Plan Seventh Restated 2002 Stock,,DEF 14 DEF 14A,,12/17/2019 12/19/2014
,Incentive Plan 2019 Stock Incentive Plan,,10-Q,11/24/2019,12/23/2019
10.3.1*,Restricted Stock Unit Award Agreement-Employee,,,,
10.3.2*,2019 Stock Incentive Plan Restricted Stock Unit Award Agreement- Non-U.S. Employee,,10-Q,11/24/2019,12/23/2019
Exhibit Number,Filed Exhibit Description,,,,
Exhibit Number,Filed Exhibit Description,Herewith Form 10-Q,,Period Ended 11/24/2019,Filing Date 12/23/2019
10.3.3* 10.3.4*,2019 Stock Incentive Plan Restricted Stock Unit Award Agreement-Non-Executive Director 2019 Stock Incentive Plan Letter,,10-Q,11/24/2019,12/23/2019
,Agreement for 2020 Performance- Based Restricted Stock Units- Executive,,,,
10.4* 10.5*,"Fiscal 2022 Executive Bonus Plan Executive Employment Agreement, effective January 1,",,8-K 10-Q,11/20/2016,11/10/2021 12/16/2016
,"2017,betweenW. Craig Jelinek and Costco Wholesale Corporation",,,,
10.5.1*,"Extension of the Term of the Executive Employment Agreement, effective January 1, 2019,between W. Craig Jelinek and Costco Wholesale Corporation",,10-Q,11/25/2018,12/20/2018
10.5.2*,"Extension of the Term of the Executive Employment Agreement, effective January 1, 2020,betweenW.Craig Jelinek and Costco Wholesale Corporation",,10-Q,11/24/2019,12/23/2019
10.5.3*,"Extension of the Term of the Executive Employment Agreement,effective January1, 2021,betweenW.Craig Jelinek and Costco Wholesale Corporation",,10-Q,11/22/2020,12/16/2020
10.5.4*,"Extension of the Term of the Executive Employment Agreement, effective January 1, 2022,between W. Craig Jelinek and Costco Wholesale Corporation",,10-Q,11/22/2021,12/22/2021
10.6,Form of Indemnification Agreement,,14A,,12/13/1999
10.7*,Deferred Compensation Plan,,10-K,9/1/2013,10/16/2013
10.8**,"Citibank,N.A. Co-Branded Credit Card Agreement",,10-Q/A,5/10/2015,8/31/2015
10.8.1**,"First Amendment to Citi, N.A. Co- Branded Credit Card Agreement",,10-Q,11/22/2015,12/17/2015
10.8.2**,"Second Amendment to Citi, N.A. Co-Branded Credit Card Agreement",,10-Q,2/14/2016,3/9/2016
10.8.3**,"Third Amendment to Citi, N.A. Co- Branded Credit Card Agreement",,10-K,8/28/2016,10/12/2016
Exhibit Number,Exhibit Description,Filed Herewith,,Period Ended,Filing Date
10.8.4**,"Fourth Amendment to Citi, N.A. Co-Branded Credit Card",,Form 10-Q,2/18/2018,3/15/2018
10.8.5**,"Agreement Fifth Amendment to Citi, N.A. Co-",,10-Q,2/17/2019,3/13/2019
10.8.6**,"Branded Credit Card Agreement Sixth Amendment to Citi, N.A. Co-",,10-K,9/1/2019,10/11/2019
10.8.7**,"Branded Credit Card Agreement Seventh Amendment to Citi, N.A. Co-Branded Credit Card",,10-Q,2/14/2021,3/10/2021
10.8.8**,"Agreement Eighth Amendment to Citi, N.A. Co-Branded Credit Card",,10-Q,2/13/2022,3/10/2022
21.1,Agreement Subsidiaries of the Company,X,,,
23.1,Consent of Independent Registered Public Accounting Firm,X,,,
31.1,Rule 13a - 14(a) Certifications,X,,,
32.1,Section 1350 Certifications,X,,,
101.INS,Inline XBRL Instance Document,×,,,
101.SCH,Inline XBRL Taxonomy Extension Schema Document,X,,,
101.CAL,Inline XBRL Taxonomy Extension Calculation Linkbase Document,X,,,
101.DEF,Inline XBRL Taxonomy Extension Definition Linkbase Document,X,,,
101.LAB,Inline XBRL Taxonomy Extension Label Linkbase Document,X,,,
101.PRE,Inline XBRL Taxonomy Extension Presentation Linkbase Document,X,,,
104,Cover Page Interactive Data File (formatted as_inline XBRL and contained in Exhibit 101),X,,,
