Exhibit Incorporated byReference FiledNumber Exhibit Description Form FileNo. Exhibit Filing Date Herewith,Exhibit Incorporated byReference FiledNumber Exhibit Description Form FileNo. Exhibit Filing Date Herewith,Exhibit Incorporated byReference FiledNumber Exhibit Description Form FileNo. Exhibit Filing Date Herewith,Exhibit Incorporated byReference FiledNumber Exhibit Description Form FileNo. Exhibit Filing Date Herewith,
,"among LML 2018 Warehouse SPV, LLC, Tesla 2014",,,
,"Warehouse SPV LLC,Deutsche Bank AG,New York",,,
,"Branch, as Administrative Agent and Group Agent, and",,,
,"the Group Agents party thereto, in respect of (i) the",,,
,"Loan and Security Agreement, dated as of December 27.",,,
,"LML 2018 Warehouse SPV, LLC, Tesla Finance LLC, and",,,
,"the Lenders, Group Agents, Paying Agent and",,,
,Administrative Agent from time to time party,,,
,"thereto,and (ii) the Amended and Restated Loan and",,,
,"Security Agreement, dated as of August 17, 2017 and as",,,
,"amended from time to time,by and among LML",,,
,"Warehouse SPV,LLC, Tesla Finance LLC,and the",,,
,"Lenders, Group Agents and Administrative Agent from",,,
,time to time party thereto.,,,
,"Payoff and Termination Letter, executed on August 28,",,,
,"2020, by and among LML 2018 Warehouse SPV, LLC",,,
,the Lenders and Group Agents from time to time party,,,
,"thereto, Deutsche Bank Trust Company Americas, as",,,
,"Paying Agent and Deutsche Bank AG, New York Branch,",,,
,"as Administrative Agent, relating to Loan and Security",,,
,Agreement.,,,
,"Purchase Agreement, dated as of August 11, 2017, by",8-K 001-34756,,
,"and among the Registrant, SolarCity and Goldman Sachs",8-K 001-34756,,
,& Co. LLC and Morgan Stanley & Co. LLC as,,,
,representatives of the several initial purchasers named,,,
,therein.,,,
,Amended and Restated Agreement For Research &,,,
,"Development Alliance on Triex Module Technology,",,,
,"effective as of September 2, 2014,by and between The",,,
,Research Foundation For The State University of New,,,
,"York, on behalf of the College of Nanoscale Science and",,,
,"Engineering of the State University of New York, andSilevo, Inc.",,,
,"Engineering of the State University of New York, andSilevo, Inc.",,,
,First Amendment to Amended and Restated Agreement,,,
,For Research & Development Alliance on Triex Module,,,
,"Technology,effective as of October 31,2014,by and between The Research Foundation For The State",,,
,"University of New York, on behalf of the College of",,,
,Nanoscale Science and Engineering of the State,,,
