Operating leases:,"December 31, 2020","December 31, 2019"
Operating lease right-of-use assets,"$ 1,558","$ 1,218"
Accrued liabilities and other,$ 286,$ 228
Other long-term liabilities,"1,254",956
Total operating lease liabilities,"$ 1,540","$ 1,184"
Finance leases:,"Solar energy systems, net","$ 29,$ 30"
"Property, plant and equipment, net","1,465","1,600"
Total finance lease assets,"$ 1,494","$ 1,630"
Current portion of long-term debt and finance leases,$ 374,$ 386
"Long-term debt and finance leases, net of current portion","1,094","1,232"
Total finance lease liabilities,"$ 1,468","$ 1,618"
