Name,Grant Date,Date of Committee Action,All Other Stock Awards: Number of Shares of Stock or Units (#),All Other Option Awards: Number of Securities Underlying Options (#),Exercise or Base Price of Option Awards ($/Sh),Grant Date Fair Value of Stock and Option Awards ($)
R. K. Templeton,1/24/2020 (1),1/16/2020,,"254,216",$ 130.52,"$ 6,500,015"
R. K. Templeton,1/24/2020 (1),1/16/2020,"49,801",,,"$ 6,500,027"
R. R. Lizardi,1/24/2020 (1),1/16/2020,,"64,532",$ 130.52,"$ 1,650,010"
R. R. Lizardi,1/24/2020 (1),1/16/2020,"12,642",,,"$ 1,650,034"
H. Ilan,1/24/2020 (1),1/16/2020,,"87,998",$ 130.52,"$ 2,250,009"
H. Ilan,1/24/2020 (1),1/16/2020,"17,239",,,"$ 2,250,034"
K. M. Flessner,1/24/2020 (1),1/16/2020,,"70,399",$ 130.52,"$ 1,800,023"
K. M. Flessner,1/24/2020 (1),1/16/2020,"13,791",,,"$ 1,800,001"
H. H. Kozanian,1/24/2020 (1),1/16/2020,,"58,666",$ 130.52,"$ 1,500,023"
H. H. Kozanian,1/24/2020 (1),1/16/2020,"11,493",,,"$ 1,500,066"
N. Anderskouv,1/24/2020 (1),1/16/2020,,"74,310",$ 130.52,"$ 1,900,023 $ 1,900,110"
