,Analog,Embedded Processing
"North Texas (Dallas, Richardson and Sherman).",X,X
"Houston, Texa.s...",,X
"Tucson, Arizona.",X,
"Santa Clara, California",X,
"South Portland, Maine.",X,
"Chengdu, China ...",X,
"Shanghai, China *..",X,XXX
"Freising, Germany.",X,
"Bangalore, India †",X,X
"Aizu, Japan...",X,X
"Miho, Japan .",X,X
"Kuala Lumpur, Malaysia † .",X,X
"Melaka, Malaysia †",X,
"Aguascalientes, Mexico *",X,
"Baguio,Philippines †",X,X
"Pampanga (Clark), Philippines t.",X,X
"Taipei, Taiwan t",X,X
