,"Year Ended December 31,","Year Ended December 31,","Year Ended December 31,"
,2015,2014,2013
,,(in thousands),(in thousands)
Net cash (used in) provided by operating activities,"(749,439) $","(749,439) $","(749,439) $"
Net cash used in investing activities,$,"16,483 $ (42,866)","97,831 (255,968)"
Net cash provided by financing activities,"(179,192) 1,640,277","541,712","476,264"
Non-GAAP free cash flow reconciliation:,Non-GAAP free cash flow reconciliation:,Non-GAAP free cash flow reconciliation:,Non-GAAP free cash flow reconciliation:
Net cash (used in) provided by operating activities,"(749,439)","16,483","97,831"
Acquisition of DVD content assets,"(77,958)","(74,790)","(65,927)"
Purchases of property and equipment,"(91,248)","(69,726)","(54,143)"
Other assets,"(1,912)","1,334","5,939"
Non-GAAP free cash flow,"$ (920,557)","$ (126,699) $","(16,300)"
