"(Dollars in millions, except per share data)",FISCAL 2021,FISCAL 2020,% CHANGE,FISCAL 2019,% CHANGE
Revenues,"$ 44,538 $","37,403",19 %$,"39,117",-4%
Cost of sales,"24,576","21,162",16%,"21,643",-2%
Gross profit,"19,962","16,241",23%,"17,474",-7%
Gross margin,44.8 %,43.4 %,,44.7 %,
Demand creation expense,"3,114","3,592",-13%,"3,753",-4%
Operating overhead expense,"9,911","9,534",4%,"8,949",7%
Total selling and administrative expense,"13,025","13,126",-1%,12.702,3%
% of revenues,29.2 %,35.1%,,32.5%,
"Interest expense (income), net",262,89,,49,
"Other (income) expense, net",14,139,,(78),
Income before income taxes,"6,661",2.887,131%,4.801,-40%
Income tax expense,934,348,168%,772,-55%
Effective tax rate,14.0 %,12.1%,,16.1%,
NET INCOME,"$ 5,727$","2,539",126 %$,"4,029",-37%
Diluted earnings per common share,$ 3.56,$ 1.60,123%$,2.49,-36%
