,nay,nay,Class A Class X,Class A Class X,,Treasury Shares,Treasury Shares,Treasury Shares,Accumulated,Other Comprehensive,Total Accenture plc Shareholders',Noncontrolling,Total Shareholders'
,shNo $,shNo $,$,shn,,Restricted Additional Share Paid-in Capital,$,share,Accumulated,Other Comprehensive,Total Accenture plc Shareholders',Noncontrolling,Total Shareholders'
"Balance as ofAugust 31,2017",$57 40,$14,"638,966 $","20,531","Units $1,095,026","$3,516,399","$ (1,649,090)","(23,449)$","Ramngd 7,081,855 $","Loss (1,094,784)$","Equity 8,949,477 $","Interests 760,723 $","Equity 9,710,200"
Net income,,,,,,,,,"4,059,907",,"4,059,907","154,687","4,214,594"
Other comprehensive income,,,,,,,,,,"(481,387)","(481,387)","(2,233)","(483,620)"
(loss) Purchases of Class Aordinary,,,,,,"49,766","(2,554,084)","(16,706)",,,"(2,504,318)","(49,766)","(2.554,084)"
shares Cancellation of treasury shares,,,"(11,621)",,,"(206,782)","1,582,067","11,621","(1,375,285)",,1,,一
Share-based compensation expense,,,,,"913,801","63,107",,,,,"976,908",,"976,908"
"Purchases/redemptions of Accenture Holdings plc ordinaryshares,Accenture",,,,(821),,"(80,169)",,,,,"(80,169)","(4,841)","(85,010)"
Canada Holdings Inc. exchangeable shares and Class X ordinary shares,,,,,,,,,,,,,
Issuances of Class Aordinary,,,,,,,,,,,,,
shares: Employee share programs,,,"10,077",,"(829,085)","1,132,024","504,159","4,201","(68,656)",,"738,442","14,704","753,146"
Upon redemptionof Accenture Holdings plc,,1,"25,906","(19,054)",,"408,652",,,,,"408,653","（408,653)",
ordinary shares,,,,,"54,881",,,,,,,,
"Dividends Other, net",,,,,,"(12,233)",,,"(1,725,953) (19,455)",,"(1,671,072) (31,688)","(37,652) (67,134）","(1,708,724)"
"Balance as ofAugust 31,2018$57",,40$15,"663,328$-",,,"656$1,234,623$4,870,764$ (2,116,948)",,,"(24,333)$7,952,413","$ (1,576,171）$","10,364,753$","359,835$","(98,822) 10,724,588"
