Fiscal,2020,2019,2018
Current taxes,U.S. federal,"$ 99,280","$ 159,578 $"
,,,"70,050"
,U.S. state and local,"26,425","86,113"
,,,"3,574"
,Non-U.S.,"1,292,362","1,256,225"
,,,"1,425,875"
,Total current tax expense,"1,418,067","1,501,916"
,,,"1,499,499"
Deferred taxes,U.S. federal,"21,532","(143,217)"
,,,"219,034"
,U.S. state and local,"8,525","(39,588)"
,,,"57,044"
,Non-U.S.,"140,894","86,445"
,,,"(182,078)"
,Total deferred tax (benefit) expense,"170,951","(96,360)"
,,,"94,000"
Total,"$ 1,589,018","$ 1,405,556 $","1,593,499"
