,"As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020","As of December 31,2020"
,Accounts_ Classified asaTDR,Accounts_ Classified asaTDR,Accounts_ Classified asaTDR,Accounts_ Classified asaTDR,Accounts_ Classified asaTDR,Accounts_ Classified asaTDR,Accounts_ Classified asaTDR
,Over 90 days PastDue&,Over 90 days PastDue&,,,Out of,Total Impaired,Reserve for Credit Losses-
2020 (Millions),Accruing Interest@,Non-Accruals,(b),In Program (d),Program(e),Balance,TDRs
Card Member Loans: $,,,,,,,
Global Consumer Services Group,,203 $,146,"1,586",248,"2,183",782
Global Commercial Services,,21,29,478,67,595,285
Card Member Receivables:,,,,,,,
Global Consumer Services Group Global Commercial Services,,,,240,34,274,60
Other Loans (f),,,,534,75,609,139
,,2,1,248,6,257,80
Total,$,226$,176 $,"3,086",430,3.918$,"1,346"
