(Millions),2021,2020,2019
Current income tax expense:U.S. federal U.S. state and localNon-U.S.,,,
Current income tax expense:U.S. federal U.S. state and localNon-U.S.,"$ 1,656","$ 1,122","$ 1,108"
Current income tax expense:U.S. federal U.S. state and localNon-U.S.,351,339,276
Current income tax expense:U.S. federal U.S. state and localNon-U.S.,328,639,437
Total current income tax expense,2.335,"2,100","1,821"
Deferred income tax (benefit) expense:U.S. federal U.S. state and localNon-U.S.,,,
Deferred income tax (benefit) expense:U.S. federal U.S. state and localNon-U.S.,231,(931),(58)
Deferred income tax (benefit) expense:U.S. federal U.S. state and localNon-U.S.,22,(119),(31)
Deferred income tax (benefit) expense:U.S. federal U.S. state and localNon-U.S.,41,111,(62)
Total deferred income tax (benefit) expense,294,(939),(151)
Total income tax expense,"$ 2,629","$ 1,161","$ 1,670"
